electrode_name,region
AIL1,ctx-lh-insula
AIL2,ctx-lh-insula
AIL3,ctx-lh-insula
AIL8,ctx-lh-insula
IPL2,ctx-lh-insula
FOL1,ctx-lh-parstriangularis
FOL2,ctx-lh-parsopercularis
FOL3,ctx-lh-parsopercularis
FOL4,ctx-lh-parsopercularis
FOL5,ctx-lh-parsopercularis
FOL6,ctx-lh-parsopercularis
FOL8,ctx-lh-parsopercularis
COL1,ctx-lh-precentral
COL5,ctx-lh-postcentral
COL6,ctx-lh-postcentral
COL7,ctx-lh-postcentral
COL8,ctx-lh-postcentral
POL1,ctx-lh-supramarginal
POL5,ctx-lh-supramarginal
POL6,ctx-lh-supramarginal
POL7,ctx-lh-supramarginal
POL8,ctx-lh-supramarginal
POL9,ctx-lh-supramarginal
POL10,ctx-lh-supramarginal
AL7,ctx-lh-superiortemporal
AL9,ctx-lh-superiortemporal
AL10,ctx-lh-middletemporal
AL11,ctx-lh-middletemporal
AL12,ctx-lh-middletemporal
AHL8,ctx-lh-middletemporal
AHL10,ctx-lh-middletemporal
AHL11,ctx-lh-middletemporal
AHL12,ctx-lh-middletemporal
PHL9,ctx-lh-middletemporal
PHL12,ctx-lh-middletemporal
IPR1,ctx-rh-insula
IPR2,ctx-rh-insula
IPR3,ctx-rh-insula
IPR8,ctx-rh-insula
PCR13,ctx-rh-supramarginal
PCR14,ctx-rh-supramarginal
PCR15,ctx-rh-supramarginal
AHR10,ctx-rh-middletemporal
AHR11,ctx-rh-middletemporal
AHR12,ctx-rh-middletemporal
