electrode_name,region
P04,ctx-rh-inferiorparietal
P05,ctx-rh-inferiorparietal
P12,ctx-rh-inferiorparietal
P13,ctx-rh-inferiorparietal
P14,ctx-rh-inferiorparietal
P19,ctx-rh-middletemporal
P20,ctx-rh-inferiorparietal
P21,ctx-rh-inferiorparietal
P22,ctx-rh-inferiorparietal
P23,ctx-rh-inferiorparietal
P27,ctx-rh-middletemporal
P28,ctx-rh-inferiorparietal
P29,ctx-rh-inferiorparietal
P30,ctx-rh-inferiorparietal
P31,ctx-rh-supramarginal
P35,ctx-rh-middletemporal
P36,ctx-rh-middletemporal
P37,ctx-rh-superiortemporal
P38,ctx-rh-supramarginal
P39,ctx-rh-supramarginal
P40,ctx-rh-supramarginal
P43,ctx-rh-middletemporal
P44,ctx-rh-middletemporal
P45,ctx-rh-superiortemporal
P46,ctx-rh-supramarginal
P47,ctx-rh-supramarginal
P48,ctx-rh-supramarginal
P50,ctx-rh-middletemporal
P51,ctx-rh-middletemporal
P52,ctx-rh-superiortemporal
P53,ctx-rh-superiortemporal
P54,ctx-rh-supramarginal
P55,ctx-rh-supramarginal
P56,ctx-rh-postcentral
P59,ctx-rh-middletemporal
P60,ctx-rh-middletemporal
P61,ctx-rh-superiortemporal
P62,ctx-rh-postcentral
P63,ctx-rh-postcentral
P64,ctx-rh-postcentral
sT1,ctx-rh-superiortemporal
sT8,ctx-rh-middletemporal
