Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
F19,13,271,494.2630540743173,-0.6215716782008159,-3.572690111240818,Music > Speech,0.6215716782008159
F07,2,213,336.35226516817903,-0.5030343790993029,-2.4515456601456473,Music > Speech,0.5030343790993029
F22,16,246,378.5422831449551,-0.4160793579978909,-2.0738429151478104,Music > Speech,0.4160793579978909
F09,4,306,439.6608482320428,-0.12648134464658725,-2.8857986485597653,Music > Speech,0.12648134464658725
