electrode_name,region
T01,ctx-lh-middletemporal
T02,ctx-lh-middletemporal
T03,ctx-lh-middletemporal
T04,ctx-lh-middletemporal
T05,ctx-lh-superiortemporal
T06,ctx-lh-superiortemporal
T07,ctx-lh-supramarginal
T09,ctx-lh-middletemporal
T10,ctx-lh-middletemporal
T11,ctx-lh-middletemporal
T12,ctx-lh-middletemporal
T13,ctx-lh-middletemporal
T14,ctx-lh-superiortemporal
D4,ctx-lh-postcentral
D5,ctx-lh-postcentral
D6,ctx-lh-postcentral
C04,ctx-lh-precentral
C05,ctx-lh-precentral
C06,ctx-lh-precentral
C07,ctx-lh-postcentral
C08,ctx-lh-postcentral
C09,ctx-lh-parstriangularis
C10,ctx-lh-parsopercularis
C11,ctx-lh-precentral
C12,ctx-lh-precentral
C13,ctx-lh-postcentral
C14,ctx-lh-postcentral
C15,ctx-lh-postcentral
C16,ctx-lh-supramarginal
C17,ctx-lh-parsopercularis
C18,ctx-lh-parsopercularis
C19,ctx-lh-precentral
C20,ctx-lh-precentral
C21,ctx-lh-postcentral
C22,ctx-lh-postcentral
C23,ctx-lh-supramarginal
C24,ctx-lh-supramarginal
C25,ctx-lh-parsopercularis
C26,ctx-lh-parsopercularis
C27,ctx-lh-precentral
C28,ctx-lh-precentral
C29,ctx-lh-postcentral
C30,ctx-lh-supramarginal
C31,ctx-lh-supramarginal
C32,ctx-lh-supramarginal
