electrode_name,region
AIR1,ctx-rh-insula
AIR2,ctx-rh-insula
AIR3,ctx-rh-parstriangularis
AIR4,ctx-rh-parstriangularis
AR10,ctx-rh-middletemporal
AR12,ctx-rh-middletemporal
IPR1,ctx-rh-insula
IPR2,ctx-rh-insula
IPR3,ctx-rh-insula
IPR4,ctx-rh-insula
AHR10,ctx-rh-middletemporal
PHR5,ctx-rh-superiortemporal
PHR6,ctx-rh-middletemporal
PHR9,ctx-rh-middletemporal
PHR10,ctx-rh-middletemporal
PHR11,ctx-rh-middletemporal
ATR5,ctx-rh-middletemporal
ATR6,ctx-rh-middletemporal
ATR7,ctx-rh-middletemporal
ATR8,ctx-rh-middletemporal
COR1,ctx-rh-postcentral
COR4,ctx-rh-postcentral
COR5,ctx-rh-postcentral
COR6,ctx-rh-postcentral
COR7,ctx-rh-postcentral
COR8,ctx-rh-postcentral
PR1,ctx-rh-supramarginal
PR2,ctx-rh-supramarginal
PR3,ctx-rh-supramarginal
PR4,ctx-rh-supramarginal
PR5,ctx-rh-supramarginal
PR6,ctx-rh-supramarginal
PR7,ctx-rh-supramarginal
PR8,ctx-rh-supramarginal
SMR3,ctx-rh-supramarginal
SMR6,ctx-rh-supramarginal
SMR7,ctx-rh-supramarginal
SMR9,ctx-rh-inferiorparietal
SMR10,ctx-rh-supramarginal
