Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
AR6,0,310,426.57916034335614,0.36924533772601237,2.454088312891422,Speech > Music,0.36924533772601237
PHR8,7,303,414.8266516629624,0.22013635341344293,-3.0413146567261324,Speech > Music,0.22013635341344293
AR6,0,391,582.8685168880806,0.015168257771449572,2.454088312891422,Speech > Music,0.015168257771449572
AR7,1,336,481.05892004334027,0.0010786353355550517,3.0711528694372046,Speech > Music,0.0010786353355550517
