Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
F47,15,197,275.20979892336743,-0.6418899830655899,-2.2336657931903185,Music > Speech,0.6418899830655899
F54,20,154,240.73390687317385,-0.41456805287717824,-2.8905397880352064,Music > Speech,0.41456805287717824
F53,19,143,251.03538048229427,-0.3687020664929446,2.4487770435149527,Music > Speech,0.3687020664929446
F60,25,250,314.050584437248,0.22842304679729053,-1.9591040649046654,Speech > Music,0.22842304679729053
F30,2,166,239.78859562525756,-0.2276210028254494,4.021297206108496,Music > Speech,0.2276210028254494
F31,3,183,272.08373890526184,0.1281894205455514,-2.8412641157122582,Speech > Music,0.1281894205455514
Di8,33,178,275.51357146779895,-0.028390725568118006,-2.201660279663995,Music > Speech,0.028390725568118006
F60,25,164,256.99678102135226,0.0016734789693364667,-1.9591040649046654,Speech > Music,0.0016734789693364667
