Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
T50,18,464,673.5893229206913,-1.3104099771924422,-3.088880423947938,Music > Speech,1.3104099771924422
T38,6,160,268.7330172340455,1.2601831282908407,3.7760307763640375,Speech > Music,1.2601831282908407
T50,18,363,573.7338851825909,-1.255867528896013,-3.088880423947938,Music > Speech,1.255867528896013
T38,6,151,264.01101502097515,1.2352203097357164,3.7760307763640375,Speech > Music,1.2352203097357164
T58,26,506,785.8437309350188,-1.030351254350958,-5.882163711100709,Music > Speech,1.030351254350958
T58,26,417,618.5110343556299,-1.0229025443025987,-5.882163711100709,Music > Speech,1.0229025443025987
T36,4,375,630.5235271541599,-0.9977978631789847,-2.78964164434038,Music > Speech,0.9977978631789847
T38,6,196,279.59398972892683,0.990450721658644,3.7760307763640375,Speech > Music,0.990450721658644
T50,18,269,400.08618522912906,-0.9718170955122867,-3.021846169125048,Music > Speech,0.9718170955122867
T50,18,282,404.730375300005,-0.9523202701417424,-3.021846169125048,Music > Speech,0.9523202701417424
T50,18,279,394.52792253688267,-0.9445460965822267,-3.021846169125048,Music > Speech,0.9445460965822267
T55,23,203,344.64811779616133,-0.8520624882399916,-4.7756826168609186,Music > Speech,0.8520624882399916
T54,22,196,295.2356794588319,0.7545729368051708,2.030276793005272,Speech > Music,0.7545729368051708
T57,25,272,409.92153203354286,-0.6855858784960588,-5.459205474450196,Music > Speech,0.6855858784960588
T34,2,235,375.03088601100296,0.6812053107532675,3.155284617830171,Speech > Music,0.6812053107532675
T58,26,337,516.4984150112209,-0.5837683657145383,-2.886993169661333,Music > Speech,0.5837683657145383
T50,18,222,318.12190675419475,-0.5748789843937319,-3.021846169125048,Music > Speech,0.5748789843937319
T45,13,148,264.98499613977106,-0.5399176716348901,-4.2648287586959865,Music > Speech,0.5399176716348901
T58,26,311,518.6846323314915,-0.5272788580304256,-2.886993169661333,Music > Speech,0.5272788580304256
T43,11,375,579.7464320872336,-0.48833390773985114,-3.1346849132294885,Music > Speech,0.48833390773985114
T49,17,189,348.67021341307816,0.4510693918262453,2.216360618565526,Speech > Music,0.4510693918262453
T49,17,215,351.20128144075284,0.32824504277420374,2.216360618565526,Speech > Music,0.32824504277420374
T58,26,273,397.7124988232786,-0.3053489597786466,-2.886993169661333,Music > Speech,0.3053489597786466
T57,25,212,344.80400970399273,-0.3046955574568357,-5.459205474450196,Music > Speech,0.3046955574568357
T56,24,186,259.9429866876534,0.25562822310602984,4.464135588162478,Speech > Music,0.25562822310602984
T38,6,326,539.8337381787744,-0.20767249954853984,3.564291514109936,Music > Speech,0.20767249954853984
T39,7,286,457.2880733054825,0.19757782342088054,2.363695871183076,Speech > Music,0.19757782342088054
T39,7,312,499.356945980481,0.13946508540573488,-2.5854353665884067,Speech > Music,0.13946508540573488
