Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
vT8,46,180,293.470559572973,-0.9923148693347467,-2.3741099998475717,Music > Speech,0.9923148693347467
T12,11,197,307.8908096626494,-0.7937689127625235,-3.5585067853242482,Music > Speech,0.7937689127625235
vT6,44,216,333.5536171313592,0.39426524958398224,2.9097689148931005,Speech > Music,0.39426524958398224
P38,32,155,270.5328079260258,-0.33320171645053565,-2.799758980989088,Music > Speech,0.33320171645053565
T08,7,176,318.4058366461535,-0.24983321382817672,-1.5494249703508907,Music > Speech,0.24983321382817672
sTa8,50,331,607.5460941324163,0.10549270466006157,-1.6192338686747183,Speech > Music,0.10549270466006157
sTa4,49,186,382.6447561022687,0.08404310738091465,2.083124524404993,Speech > Music,0.08404310738091465
sTa4,49,188,302.24161896025544,0.08344287619505096,2.083124524404993,Speech > Music,0.08344287619505096
