Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
sT3,55,333,519.3609285165121,-0.8625014647753442,-4.168423193014475,Music > Speech,0.8625014647753442
T40,35,186,316.6581295105279,0.5158604991585747,2.456072052840195,Speech > Music,0.5158604991585747
sT3,55,197,286.34606297892185,-0.37800748027913184,-2.1287259044059716,Music > Speech,0.37800748027913184
T02,1,234,352.65234265188013,0.3176424531553535,4.510644742424206,Speech > Music,0.3176424531553535
T09,8,157,287.77085581111515,0.26432172986127567,1.6160931789372943,Speech > Music,0.26432172986127567
T34,29,133,274.2192096600527,0.0934476393793627,1.667970378943009,Speech > Music,0.0934476393793627
TO61,46,260,396.89791505171206,-0.03457023331790944,-2.9400650900462977,Music > Speech,0.03457023331790944
TO62,47,306,534.1757665689762,0.02046529499726254,2.3992817695026747,Speech > Music,0.02046529499726254
