Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
T58,26,321,451.72803653804976,-0.925751088619196,-5.014602426957959,Music > Speech,0.925751088619196
T58,26,327,491.6054446082626,-0.8233671016848128,-5.014602426957959,Music > Speech,0.8233671016848128
T50,18,360,541.9107608007444,-0.8088768250765869,3.3234300935784282,Music > Speech,0.8088768250765869
T36,4,190,279.0299994421659,-0.6898560945825316,-3.3534391450128336,Music > Speech,0.6898560945825316
T58,26,244,389.59044894659627,-0.6002957533047057,-5.014602426957959,Music > Speech,0.6002957533047057
C01,32,194,311.85356362269874,0.5760088982552657,3.1989611940674276,Speech > Music,0.5760088982552657
T41,9,220,344.02733343600937,0.5676730026335107,2.3777571493300034,Speech > Music,0.5676730026335107
T56,24,188,286.3096090892941,0.5580282571132904,-2.8054464879997267,Speech > Music,0.5580282571132904
T58,26,222,374.30921204180004,-0.5334514779930167,-5.014602426957959,Music > Speech,0.5334514779930167
C02,33,258,387.6024583777711,0.437634664765314,3.010269391929029,Speech > Music,0.437634664765314
T51,19,300,481.6003793931201,-0.4216918303565239,-3.097676367237383,Music > Speech,0.4216918303565239
T56,24,204,352.67264649666134,0.41784819902234976,-2.8054464879997267,Speech > Music,0.41784819902234976
C02,33,231,341.1336149344853,0.36609385709027586,3.010269391929029,Speech > Music,0.36609385709027586
T50,18,258,406.11288133568814,-0.3397522125429439,3.3234300935784282,Music > Speech,0.3397522125429439
T59,27,232,327.1676634519235,-0.32681776937177814,2.395723210450362,Music > Speech,0.32681776937177814
T38,6,340,437.6556991697104,-0.24640730947439884,3.152314849143331,Music > Speech,0.24640730947439884
T49,17,304,552.932804093541,-0.23604952429878148,4.376554648891281,Music > Speech,0.23604952429878148
T39,7,275,390.9528303674821,-0.21141557600303953,-2.8375741048755247,Music > Speech,0.21141557600303953
T46,14,252,332.53970597751595,-0.07955363211969675,-2.1618423394792683,Music > Speech,0.07955363211969675
T57,25,182,283.1834504166647,-0.0723743054971328,-2.453526809762353,Music > Speech,0.0723743054971328
T49,17,241,329.77924735674907,0.060495944741893605,4.376554648891281,Speech > Music,0.060495944741893605
T38,6,248,354.2079838266489,-0.026605718522953313,3.152314849143331,Music > Speech,0.026605718522953313
T39,7,244,342.44851611405994,0.01320811020574303,-1.6687657915131595,Speech > Music,0.01320811020574303
