Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
T22,19,596,1015.5132288003742,-1.4245818301078033,-4.296176505275364,Music > Speech,1.4245818301078033
T22,19,641,949.2035458608831,-1.4000140142885282,-4.296176505275364,Music > Speech,1.4000140142885282
T22,19,583,888.2251025407636,-1.3178843603679908,-4.296176505275364,Music > Speech,1.3178843603679908
T23,20,535,989.8489318066574,-1.217694058320231,-7.745983792839179,Music > Speech,1.217694058320231
T21,18,490,738.2351668692477,-1.1063389410951918,-3.6563767687105173,Music > Speech,1.1063389410951918
T23,20,528,928.654166673349,-1.0899952511818978,-7.745983792839179,Music > Speech,1.0899952511818978
Oc8,43,281,437.90026577261915,-1.0851533355872305,-3.9603673508021666,Music > Speech,1.0851533355872305
T22,19,505,777.2320588492872,-1.0572272211958993,-2.973731949746886,Music > Speech,1.0572272211958993
T22,19,445,659.2085980450598,-0.975162534002156,-2.973731949746886,Music > Speech,0.975162534002156
Oc8,43,251,421.7360419538311,-0.9634450858427354,-3.141025782164378,Music > Speech,0.9634450858427354
T22,19,418,611.8406761259037,-0.9634215890769237,-2.6507233215828925,Music > Speech,0.9634215890769237
T21,18,331,505.3060161434192,-0.9475566936644746,-3.122372062149713,Music > Speech,0.9475566936644746
T22,19,343,536.6883385595386,-0.9462592871376809,-2.6507233215828925,Music > Speech,0.9462592871376809
T02,1,252,408.06763210015515,0.8904333541033249,4.054957051697435,Speech > Music,0.8904333541033249
T22,19,416,614.2793581079691,-0.8571336336659582,-2.6507233215828925,Music > Speech,0.8571336336659582
T22,19,353,573.8305886593696,-0.852323035831671,-2.6507233215828925,Music > Speech,0.852323035831671
T22,19,385,558.5044561660125,-0.8521329199744289,-2.6507233215828925,Music > Speech,0.8521329199744289
T22,19,356,510.9144863739086,-0.810599538126522,-2.6507233215828925,Music > Speech,0.810599538126522
T12,9,314,415.7948615443696,-0.8058217556450695,-3.1082348067491816,Music > Speech,0.8058217556450695
T12,9,264,373.85435906556074,-0.7537835284553634,-3.1082348067491816,Music > Speech,0.7537835284553634
T21,18,300,475.5862058491945,-0.7393792558903535,2.968139264586899,Music > Speech,0.7393792558903535
T12,9,237,364.88100357592526,-0.7133542027699853,-3.1082348067491816,Music > Speech,0.7133542027699853
T21,18,443,627.81858838297,-0.7038885876228231,-3.122372062149713,Music > Speech,0.7038885876228231
T12,9,254,344.2570485586519,-0.6682312110299922,-3.1082348067491816,Music > Speech,0.6682312110299922
Oc8,43,200,325.03685762889097,-0.6660681185393785,-3.141025782164378,Music > Speech,0.6660681185393785
T21,18,303,443.75431171603486,-0.6491122518943406,2.968139264586899,Music > Speech,0.6491122518943406
T12,9,244,340.865281743016,-0.6434265699583238,-3.1082348067491816,Music > Speech,0.6434265699583238
Oc8,43,213,309.43674584213323,-0.6156989883997347,-3.141025782164378,Music > Speech,0.6156989883997347
T21,18,257,366.37546527206996,-0.6147695350264881,2.968139264586899,Music > Speech,0.6147695350264881
T30,25,283,422.9349701025593,-0.6097013087557377,-3.204054416182359,Music > Speech,0.6097013087557377
vT4,40,165,355.148708983287,-0.6038335260788461,-1.869554913045425,Music > Speech,0.6038335260788461
T12,9,226,330.88622413440544,-0.5861047655550979,-3.1082348067491816,Music > Speech,0.5861047655550979
T21,18,294,420.26176606780837,-0.5750031457443519,2.968139264586899,Music > Speech,0.5750031457443519
T19,16,233,344.24617434651816,-0.5730955656952968,-2.596437657606782,Music > Speech,0.5730955656952968
T21,18,275,383.68075657081613,-0.5586491716296071,2.968139264586899,Music > Speech,0.5586491716296071
T12,9,246,359.8866270266752,-0.5516875703601849,-3.1082348067491816,Music > Speech,0.5516875703601849
T11,8,189,361.9658857394485,0.5401273717232352,2.6716420379462007,Speech > Music,0.5401273717232352
P47,32,222,388.4465787232801,0.5379018697840585,2.253238151046048,Speech > Music,0.5379018697840585
T23,20,292,437.54166232416094,-0.5331928700710462,-7.745983792839179,Music > Speech,0.5331928700710462
T23,20,265,477.42835938221174,-0.5286692012962262,-7.745983792839179,Music > Speech,0.5286692012962262
