Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
P28,11,175,315.5682401877117,-1.3449919678935895,-4.528897881739703,Music > Speech,1.3449919678935895
P28,11,132,280.87230248203804,-1.0039103842644566,-4.497566145354553,Music > Speech,1.0039103842644566
P56,33,260,418.2004561625413,-0.4395885433223687,-1.935987103836073,Music > Speech,0.4395885433223687
P56,33,290,408.07595776069854,-0.36443864509945323,-1.935987103836073,Music > Speech,0.36443864509945323
P12,2,180,266.0681603858677,0.13520860097721576,1.5886864072885227,Speech > Music,0.13520860097721576
P14,4,243,392.70252310369483,0.10249336544635178,2.3195897693692284,Speech > Music,0.10249336544635178
