Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
P62,37,174,354.84691790685997,-0.7064899467620872,-2.5820627795939965,Music > Speech,0.7064899467620872
P45,23,194,316.6699041729897,-0.4217877970719909,-2.538039986950474,Music > Speech,0.4217877970719909
P38,18,230,336.186191786256,-0.3106398505054419,-2.9806619384809228,Music > Speech,0.3106398505054419
P05,1,185,285.6779180855172,0.28868553518187795,-3.719090702002546,Speech > Music,0.28868553518187795
P48,26,268,435.20293706922973,0.2399198712083496,2.213945183236783,Speech > Music,0.2399198712083496
