Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
T02,53,781,1350.7789302153624,-1.128636022059737,-6.899145049221818,Music > Speech,1.128636022059737
T02,53,679,1064.5386991607693,-1.1186524107937972,-6.899145049221818,Music > Speech,1.1186524107937972
P14,10,601,870.6889739201619,-1.0804516096496986,-3.4815808079329678,Music > Speech,1.0804516096496986
T02,53,626,1149.3434255940278,-1.031779248528027,-6.899145049221818,Music > Speech,1.031779248528027
P14,10,620,904.8838448132952,-0.9747937014145793,-3.4815808079329678,Music > Speech,0.9747937014145793
T06,56,355,705.6753093680537,-0.9436653171560535,-2.747761951244481,Music > Speech,0.9436653171560535
P14,10,354,560.2817217665299,-0.9213446628879244,-3.334553739299269,Music > Speech,0.9213446628879244
P14,10,393,662.308549586151,-0.9103382316040269,-3.334553739299269,Music > Speech,0.9103382316040269
P14,10,408,634.1667946155117,-0.9050632141477936,-3.334553739299269,Music > Speech,0.9050632141477936
T06,56,396,655.6541672335973,-0.8175118226930174,-2.747761951244481,Music > Speech,0.8175118226930174
T06,56,494,923.6035957950305,-0.7425732068287318,-2.747761951244481,Music > Speech,0.7425732068287318
T04,54,317,405.49040383654403,-0.649618479309603,-3.0008183447735512,Music > Speech,0.649618479309603
P14,10,287,464.61315415443744,-0.6422987996638385,-3.334553739299269,Music > Speech,0.6422987996638385
T04,54,269,375.9772139702967,-0.6401368219657682,-3.0008183447735512,Music > Speech,0.6401368219657682
P29,22,242,397.3649871826145,0.5180509724992843,2.193380151336166,Speech > Music,0.5180509724992843
P29,22,314,425.6648056167921,0.4608685396875839,2.193380151336166,Speech > Music,0.4608685396875839
P23,16,188,332.85597090036174,0.4487728674055817,2.8486187773042095,Speech > Music,0.4487728674055817
P14,10,261,433.06985601204843,-0.4266620970545263,-3.334553739299269,Music > Speech,0.4266620970545263
P16,12,240,443.92379082925765,0.40372563003469747,1.6995565337241225,Speech > Music,0.40372563003469747
P37,28,413,573.6727934697543,0.3946780454762742,4.44420705504616,Speech > Music,0.3946780454762742
P04,2,196,321.90965844096263,0.3938317379716759,2.6836686728395813,Speech > Music,0.3938317379716759
P24,17,254,355.97200063539333,-0.37247230702858075,-2.7760592818338545,Music > Speech,0.37247230702858075
P14,10,266,415.6550818739852,-0.3401563747794036,-3.334553739299269,Music > Speech,0.3401563747794036
P22,15,231,349.5726297794163,0.33662275098015926,2.6683630755499235,Speech > Music,0.33662275098015926
P16,12,247,631.3334904989489,0.32380515618472405,1.6995565337241225,Speech > Music,0.32380515618472405
Fb56,40,386,636.7741933154308,0.30125672392674024,2.92904796157456,Speech > Music,0.30125672392674024
sT8,51,403,645.0282523065127,-0.2536053261850904,2.336942541321005,Music > Speech,0.2536053261850904
P27,20,168,311.44510319037454,0.24009397420813217,2.864741786676465,Speech > Music,0.24009397420813217
P06,4,250,417.42741439586746,0.1449112729440079,2.8605315907701336,Speech > Music,0.1449112729440079
P08,6,374,513.2394809129808,-0.0888508113163357,-3.393349967300127,Music > Speech,0.0888508113163357
F12,59,246,392.0954934763205,0.08363608226705928,-2.477365150124158,Speech > Music,0.08363608226705928
P16,12,350,526.5170262811525,-0.06912305162663197,-2.2209671261087895,Music > Speech,0.06912305162663197
P08,6,235,382.2525098168304,-0.058172854453604296,-3.393349967300127,Music > Speech,0.058172854453604296
P16,12,323,432.8507440615027,-0.0238204626926463,-2.2209671261087895,Music > Speech,0.0238204626926463
