Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
F03,2,114,160.7884413387234,-0.910988487949436,-2.937780545667972,Music > Speech,0.910988487949436
F29,23,59,94.18440507604188,0.72442090829732,3.5246901492438045,Speech > Music,0.72442090829732
F02,1,68,111.47930864282921,-0.703290586983031,-3.397285277011404,Music > Speech,0.703290586983031
F02,1,89,125.872712879133,-0.6095532860164669,-3.397285277011404,Music > Speech,0.6095532860164669
F09,7,54,92.51597617868825,-0.5982911275097487,-2.144938633517462,Music > Speech,0.5982911275097487
T07,40,106,154.3009912616017,-0.547202985541709,-2.603170135874712,Music > Speech,0.547202985541709
F03,2,88,136.48638039872944,-0.5018545999634704,-2.7153987299614952,Music > Speech,0.5018545999634704
F04,3,72,123.4357464080106,-0.4559123894880213,-2.29818082859807,Music > Speech,0.4559123894880213
T14,43,95,144.07386666832312,0.45209903678461566,2.494654464263496,Speech > Music,0.45209903678461566
F03,2,72,108.31534068562166,-0.42130754615059746,-2.6483695354857737,Music > Speech,0.42130754615059746
C50,30,48,113.03318833535927,-0.3985148330159327,-3.032985321360184,Music > Speech,0.3985148330159327
F21,17,67,115.22281905490834,0.3968608228933997,2.624581320048361,Speech > Music,0.3968608228933997
F26,20,63,116.70196111451494,-0.383042931563326,-2.6252022353538416,Music > Speech,0.383042931563326
sT8,44,97,145.73896574365503,0.3591213591828277,-2.0810550761503768,Speech > Music,0.3591213591828277
F41,27,100,137.48292912132055,-0.34125862597959605,2.1220101286938844,Music > Speech,0.34125862597959605
F04,3,102,148.32298960775717,-0.33792007784182976,-2.6320999242514764,Music > Speech,0.33792007784182976
T13,42,126,188.9898474899168,-0.3361040394828714,3.4284077359008975,Music > Speech,0.3361040394828714
F12,10,88,124.39177885882367,0.33516230584227524,2.595687787831497,Speech > Music,0.33516230584227524
T05,38,63,112.90675351004457,0.31462627460734355,2.4714160411008836,Speech > Music,0.31462627460734355
F12,10,119,199.35546968948486,-0.3106051546934951,-3.0086913585379027,Music > Speech,0.3106051546934951
C53,32,75,110.56207795910309,-0.3087789255396543,-2.6825175933272205,Music > Speech,0.3087789255396543
T12,41,195,304.3690029334729,-0.3053703010997725,-2.543479039332328,Music > Speech,0.3053703010997725
F42,28,72,127.14809414433235,-0.28944964278645446,-2.541469642787642,Music > Speech,0.28944964278645446
F20,16,122,196.93405499134528,-0.2786570273208946,-2.92400740905315,Music > Speech,0.2786570273208946
T14,43,106,151.31013580807343,0.2733182297398235,2.494654464263496,Speech > Music,0.2733182297398235
T07,40,91,124.2230129364372,-0.26912553044864745,2.219309028661627,Music > Speech,0.26912553044864745
T13,42,105,154.90670876626513,-0.23399439081828954,3.4284077359008975,Music > Speech,0.23399439081828954
F04,3,100,149.92914335370585,-0.2310779816865749,-2.29818082859807,Music > Speech,0.2310779816865749
F05,4,92,172.60811994004408,-0.2298065556348935,-2.328450658734722,Music > Speech,0.2298065556348935
T13,42,109,153.21210551620146,-0.20458063282935363,3.4284077359008975,Music > Speech,0.20458063282935363
T06,39,67,103.04294157868027,-0.19916408576467431,-1.645905094388276,Music > Speech,0.19916408576467431
F20,16,60,112.45421130821897,0.19169854977916415,1.737577768070696,Speech > Music,0.19169854977916415
F13,11,103,142.56501059385957,-0.16498174464992754,2.5390889656743427,Music > Speech,0.16498174464992754
C49,29,98,158.99114021363403,0.1554789201627411,1.990969778905976,Speech > Music,0.1554789201627411
F05,4,70,104.3680197004305,-0.13744175128456915,-2.328450658734722,Music > Speech,0.13744175128456915
F05,4,79,133.64750415173353,-0.1234379303729652,-2.328450658734722,Music > Speech,0.1234379303729652
F13,11,75,93.32419138949105,-0.11896825231571029,2.5390889656743427,Music > Speech,0.11896825231571029
HF3,47,77,124.46593405062728,0.11775777827418837,-1.9802735827162927,Speech > Music,0.11775777827418837
T13,42,97,151.11285155036444,-0.07847634451793731,3.4284077359008975,Music > Speech,0.07847634451793731
F21,17,137,207.62002107303258,-0.07772156942627556,-3.4540181856036094,Music > Speech,0.07772156942627556
F05,4,80,121.64318059607872,-0.0730156586270963,-2.328450658734722,Music > Speech,0.0730156586270963
HF3,47,76,100.85576334925618,0.04982292561915061,-1.9802735827162927,Speech > Music,0.04982292561915061
HF3,47,68,105.75724102511344,-0.03497207428703568,-1.9802735827162927,Music > Speech,0.03497207428703568
F20,16,80,149.96000207781987,-0.01903628221722471,-2.92400740905315,Music > Speech,0.01903628221722471
T04,37,68,103.73530846600919,0.017925920812625798,2.6566444340366897,Speech > Music,0.017925920812625798
F20,16,85,139.95017008172616,-0.01692560139867963,-2.92400740905315,Music > Speech,0.01692560139867963
