Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
P37,28,177,299.7252029762496,0.6594153393742826,1.756519940588888,Speech > Music,0.6594153393742826
P36,27,212,309.33141844262866,0.6532305721907679,2.955569337120765,Speech > Music,0.6532305721907679
P16,12,218,327.63163284949115,0.5835548517951867,2.3216327991677805,Speech > Music,0.5835548517951867
P15,11,171,269.0479904496937,0.5165918709663754,2.224461420331929,Speech > Music,0.5165918709663754
Fb61,43,156,259.69670299802885,0.48032196839275204,1.656939968820783,Speech > Music,0.48032196839275204
P22,15,212,407.1002833782974,0.42535819214681264,3.191253715447556,Speech > Music,0.42535819214681264
vT8,49,210,303.37901158530366,0.4130802731219425,2.120379073371967,Speech > Music,0.4130802731219425
T02,53,606,977.2651344329947,-0.39451833318127183,-3.641335628834091,Music > Speech,0.39451833318127183
T02,53,281,419.41600308467804,0.39042187500644243,2.4229017119368694,Speech > Music,0.39042187500644243
T02,53,292,452.97910287201495,0.3770086161465603,2.4229017119368694,Speech > Music,0.3770086161465603
T06,56,438,735.6095732254321,-0.22825237185283012,2.3342581313858277,Music > Speech,0.22825237185283012
P43,32,242,371.6681368255353,0.20118576670066837,-4.148460262092547,Speech > Music,0.20118576670066837
P14,10,207,324.2260367420342,0.1688758410092153,-2.465059462687411,Speech > Music,0.1688758410092153
P14,10,210,286.4343920363105,0.15501186708979636,-2.465059462687411,Speech > Music,0.15501186708979636
P17,13,313,513.9150601461181,0.1501592314794356,2.035705102280209,Speech > Music,0.1501592314794356
P14,10,222,320.5455146683174,0.12836944815965845,-2.465059462687411,Speech > Music,0.12836944815965845
P14,10,188,298.6882871584103,0.03105137527402517,-2.465059462687411,Speech > Music,0.03105137527402517
P35,26,148,244.19068776962771,0.02428113770247852,-2.331931816904028,Speech > Music,0.02428113770247852
