Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
T22,11,281,425.6314240591385,-0.9601879852454939,-3.196523957112713,Music > Speech,0.9601879852454939
vT3,47,225,370.7571192991239,-0.9039277599265764,-2.2129605637793777,Music > Speech,0.9039277599265764
T14,3,353,554.5796118471611,-0.828059184290885,-3.6173875098526613,Music > Speech,0.828059184290885
T16,5,298,537.385945887166,-0.8015510818105406,-2.427502597296825,Music > Speech,0.8015510818105406
T22,11,228,392.8510989865401,-0.7389829790861951,-2.548459033961151,Music > Speech,0.7389829790861951
T22,11,242,316.4965082022755,-0.686493647882531,-2.548459033961151,Music > Speech,0.686493647882531
T23,12,295,469.00386166676634,-0.6600884059602621,-2.956919226176427,Music > Speech,0.6600884059602621
C60,40,202,308.45593620101766,-0.648745745520552,-5.974436902597027,Music > Speech,0.648745745520552
T16,5,239,361.19436226978473,-0.6327334921824552,-2.427502597296825,Music > Speech,0.6327334921824552
T13,2,266,335.03611019513437,-0.462031904136457,-2.973886697439721,Music > Speech,0.462031904136457
T20,9,185,285.4705283318746,0.4552692390983044,2.9216104242008316,Speech > Music,0.4552692390983044
T30,19,234,321.0829934236484,-0.41120744975912193,-2.020716714551417,Music > Speech,0.41120744975912193
T19,8,320,434.3811996215673,-0.39543918995150823,-3.412292339027224,Music > Speech,0.39543918995150823
C38,22,142,286.3775074708564,-0.39017992379554467,-2.63896045650255,Music > Speech,0.39017992379554467
T24,13,207,308.325742518414,-0.38090572328011774,-2.4373266752260436,Music > Speech,0.38090572328011774
C39,23,180,278.89537063608077,0.37282583382349876,2.5812973688793326,Speech > Music,0.37282583382349876
C63,43,244,395.1211814210139,-0.28296966478037056,-2.7469039938726434,Music > Speech,0.28296966478037056
T24,13,202,276.5566359092704,-0.25489946913538136,-2.4373266752260436,Music > Speech,0.25489946913538136
C40,24,176,254.49340604572046,-0.22367344067667566,2.6696162875878233,Music > Speech,0.22367344067667566
T13,2,215,332.2690482432013,-0.21132541586924916,-2.973886697439721,Music > Speech,0.21132541586924916
T30,19,183,268.6504811685399,-0.204321283543497,-1.8352675305874504,Music > Speech,0.204321283543497
T15,4,253,358.96700303948467,-0.1882291377473242,2.4690772394847498,Music > Speech,0.1882291377473242
vT4,48,276,420.13931516227046,-0.1806964278768219,-2.3523310333398397,Music > Speech,0.1806964278768219
T15,4,240,404.43804949244304,-0.16713938439846354,2.4690772394847498,Music > Speech,0.16713938439846354
T31,20,218,289.957430030421,-0.14584563166704376,2.200197653743119,Music > Speech,0.14584563166704376
T24,13,187,263.51007592507955,-0.1282153579367455,-1.8928845416660245,Music > Speech,0.1282153579367455
C40,24,157,335.6554379552563,-0.05959822668821074,2.6696162875878233,Music > Speech,0.05959822668821074
T29,18,352,495.0071801559715,-0.0405574880192205,-2.46662241064741,Music > Speech,0.0405574880192205
