Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
sT3,55,165,344.2652388615021,-0.9118227471849402,-2.996722014640625,Music > Speech,0.9118227471849402
sT3,55,398,567.4570439203627,-0.847958730216849,-3.5649266191229283,Music > Speech,0.847958730216849
T25,20,172,325.3305467853528,-0.5315744323807153,-5.960612548399769,Music > Speech,0.5315744323807153
T35,30,168,291.91075356549254,-0.4846545119886228,-3.281262751215721,Music > Speech,0.4846545119886228
T09,8,184,314.15307810806854,0.4560479711238196,2.9940862626934477,Speech > Music,0.4560479711238196
T05,4,172,272.1434631139554,-0.34482902730903303,-3.3968134426586825,Music > Speech,0.34482902730903303
T31,26,211,349.78691525776145,-0.176932096556084,-2.3135291346720943,Music > Speech,0.176932096556084
T02,1,204,304.56892387814094,0.036501954207716535,1.462087719861243,Speech > Music,0.036501954207716535
T34,29,257,383.0929003142172,0.018444551756066956,-2.414338629528668,Speech > Music,0.018444551756066956
