Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
FL30,32,197,297.64008346777894,-0.9984461017095518,3.467040303662316,Music > Speech,0.9984461017095518
FL27,29,75,121.6001574823011,-0.6305227024664669,-2.902916681624354,Music > Speech,0.6305227024664669
FL20,22,103,165.48186663150963,-0.5392416849895126,-2.7224468771287045,Music > Speech,0.5392416849895126
FL29,31,87,141.63104958949532,0.47368277799715586,2.504426597539677,Speech > Music,0.47368277799715586
FL17,19,85,118.03842196470535,-0.33861080966596085,-1.5654532396657885,Music > Speech,0.33861080966596085
FL22,24,125,183.96481170378388,-0.2626096486300097,-2.8679948018240324,Music > Speech,0.2626096486300097
FL08,12,152,208.9123251014043,0.24520174672484196,3.554030814347633,Speech > Music,0.24520174672484196
FL25,27,96,159.21484443821166,-0.18684639170850592,-2.0842579269279375,Music > Speech,0.18684639170850592
FL21,23,131,186.20707431695865,-0.06187167731516224,-2.3259188686053425,Music > Speech,0.06187167731516224
FL18,20,126,196.87544193989797,-0.04071485930534358,-2.11091290282813,Music > Speech,0.04071485930534358
