Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
CP13,8,154,221.89109272894913,-0.9923303369258697,-3.3284944398671965,Music > Speech,0.9923303369258697
CP22,16,164,248.5228195116885,0.7483650805720864,2.3608834621243293,Speech > Music,0.7483650805720864
FM07,47,195,338.56995484382406,-0.6502444762882222,-3.224902689793456,Music > Speech,0.6502444762882222
iH4,64,140,236.09846722198807,-0.41072967680395633,-2.957929223986377,Music > Speech,0.41072967680395633
FL06,55,173,261.9238709734119,-0.3565783562455969,-1.8718673706862463,Music > Speech,0.3565783562455969
CP23,17,311,542.2540192518304,0.2626853586179503,-2.482506857373131,Speech > Music,0.2626853586179503
CP48,38,192,298.41730138731816,0.2621591977952363,3.4114991831118977,Speech > Music,0.2621591977952363
CP08,5,136,229.46042701650913,0.26134249799501746,2.1826351540451543,Speech > Music,0.26134249799501746
CP21,15,176,249.33585134030685,-0.2342560973295834,-1.5020824408600408,Music > Speech,0.2342560973295834
FM08,48,152,265.2120989354713,0.1453197375252632,2.7373720966796093,Speech > Music,0.1453197375252632
CP24,18,177,276.1384840776632,0.07348543109831221,3.679471986886379,Speech > Music,0.07348543109831221
CP48,38,157,271.60835917448543,-0.049262776971153145,2.256652173167206,Music > Speech,0.049262776971153145
FL16,63,116,227.61657859685656,0.024681027908829083,-2.1745734769022236,Speech > Music,0.024681027908829083
