Channel,Channel_Index,Cluster_Size,Cluster_Mass,Mean_T,Peak_T,Effect_Direction,Effect_Magnitude
ATR7,18,209,311.3566280089019,-0.5657911886838979,-3.269591689775748,Music > Speech,0.5657911886838979
ATR5,16,265,429.6525787044318,-0.5419983410752421,-3.2844622377318617,Music > Speech,0.5419983410752421
ATR5,16,234,340.90390245365654,-0.5363785456184069,-3.2844622377318617,Music > Speech,0.5363785456184069
ATR7,18,300,482.5894509231182,-0.4364781336329486,-3.269591689775748,Music > Speech,0.4364781336329486
ATR6,17,306,458.1550423882966,-0.3786048783695597,-2.7625167287467063,Music > Speech,0.3786048783695597
ATR7,18,250,403.32199181781925,-0.36257173527384373,-3.269591689775748,Music > Speech,0.36257173527384373
PHR9,13,197,346.9783725665824,-0.3448545360083931,-1.6090281861086746,Music > Speech,0.3448545360083931
ATR6,17,266,413.10236217301065,-0.33611709685427266,-2.7625167287467063,Music > Speech,0.33611709685427266
ATR8,19,246,404.8377428088463,-0.2607770441277569,-2.097590376998661,Music > Speech,0.2607770441277569
