electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
FB1,ctx-lh-inferiortemporal,1009,0.0,direct,-41.13,-9.159,-19.464,135,106,148
FB2,ctx-lh-inferiortemporal,1009,0.0,direct,-47.13,-2.159,-18.464,141,113,149
FB3,ctx-lh-inferiortemporal,1009,1.0,nearest-neighbor,-52.13,5.841,-14.464,146,121,153
FB4,ctx-lh-middletemporal,1015,0.0,direct,-53.13,12.841,-8.464,147,128,159
FB5,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-53.13,18.841,-0.464,147,134,167
FB6,ctx-lh-superiortemporal,1030,1.4142135,nearest-neighbor,-49.13,24.841,7.536,143,140,175
FB7,ctx-lh-precentral,1024,1.7320508,nearest-neighbor,-46.13,29.841,15.536,140,145,183
FB8,ctx-lh-parsopercularis,1018,0.0,direct,-43.13,35.841,23.536,137,151,191
IHv1,ctx-lh-medialorbitofrontal,1014,0.0,direct,2.87,68.841,8.536,91,184,176
IHv2,ctx-lh-medialorbitofrontal,1014,1.0,nearest-neighbor,5.87,72.841,16.536,88,188,184
IHv3,ctx-lh-medialorbitofrontal,1014,1.4142135,nearest-neighbor,4.87,77.841,25.536,89,193,193
IHv4,ctx-lh-superiorfrontal,1028,0.0,direct,2.87,79.841,34.536,91,195,202
IHv5,ctx-lh-superiorfrontal,1028,2.236068,nearest-neighbor,3.87,75.841,44.536,90,191,212
IHv6,ctx-lh-superiorfrontal,1028,0.0,direct,7.87,68.841,51.536,86,184,219
IHv7,ctx-lh-superiorfrontal,1028,1.4142135,nearest-neighbor,7.87,60.841,56.536,86,176,224
IHv8,ctx-lh-superiorfrontal,1028,1.0,nearest-neighbor,4.87,53.841,63.536,89,169,231
IHa1,ctx-lh-rostralanteriorcingulate,1026,1.7320508,nearest-neighbor,4.87,33.841,15.536,89,149,183
IHa2,Left-Cerebral-White-Matter,2,0.0,direct,6.87,39.841,24.536,87,155,192
IHa3,ctx-lh-caudalanteriorcingulate,1002,0.0,direct,6.87,43.841,36.536,87,159,204
