electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
C59,ctx-lh-superiorparietal,1029,1.0,nearest-neighbor,-39.892,-30.608,64.767,125,109,221
C60,ctx-lh-postcentral,1022,1.0,nearest-neighbor,-42.892,-21.608,66.767,128,118,223
C61,ctx-lh-postcentral,1022,1.7320508,nearest-neighbor,-43.892,-12.608,67.767,129,127,224
C62,ctx-lh-postcentral,1022,1.7320508,nearest-neighbor,-43.892,-1.608,66.767,129,138,223
C63,ctx-lh-precentral,1024,2.0,nearest-neighbor,-42.892,8.392,63.767,128,148,220
C64,ctx-lh-caudalmiddlefrontal,1003,3.0,nearest-neighbor,-40.892,17.392,61.767,126,157,218
T01,ctx-lh-lateraloccipital,1011,1.0,nearest-neighbor,-49.892,-48.608,-8.233,135,91,148
T02,ctx-lh-lateraloccipital,1011,1.0,nearest-neighbor,-55.892,-40.608,-6.233,141,99,150
T03,ctx-lh-inferiortemporal,1009,0.0,direct,-60.892,-31.608,-5.233,146,108,151
T04,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-65.892,-22.608,-4.233,151,117,152
T05,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-67.892,-13.608,-2.233,153,126,154
T06,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-67.892,-3.608,-0.233,153,136,156
T07,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-66.892,6.392,2.767,152,146,159
T08,ctx-lh-middletemporal,1015,1.7320508,nearest-neighbor,-62.892,15.392,3.767,148,155,160
T09,ctx-lh-lateraloccipital,1011,1.0,nearest-neighbor,-55.892,-52.608,-0.233,141,87,156
T10,ctx-lh-inferiortemporal,1009,1.0,nearest-neighbor,-59.892,-43.608,1.767,145,96,158
T11,ctx-lh-inferiortemporal,1009,2.0,nearest-neighbor,-63.892,-34.608,2.767,149,105,159
T12,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-66.892,-24.608,5.767,152,115,162
T13,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-66.892,-15.608,7.767,152,124,164
T14,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-67.892,-5.608,9.767,153,134,166
T15,ctx-lh-superiortemporal,1030,2.0,nearest-neighbor,-65.892,4.392,12.767,151,144,169
T16,ctx-lh-superiortemporal,1030,1.4142135,nearest-neighbor,-62.892,13.392,12.767,148,153,169
sT1,ctx-lh-lingual,1013,0.0,direct,-18.892,-30.608,2.767,104,109,159
sT2,ctx-lh-lingual,1013,0.0,direct,-19.892,-21.608,0.767,105,118,157
sT3,ctx-lh-parahippocampal,1016,1.0,nearest-neighbor,-19.892,-11.608,-3.233,105,128,153
sT4,Left-Cerebellum-Cortex,8,0.0,direct,-19.892,-2.608,-7.233,105,137,149
sT5,ctx-lh-entorhinal,1006,0.0,direct,-19.892,6.392,-11.233,105,146,145
sT6,ctx-lh-entorhinal,1006,0.0,direct,-19.892,14.392,-15.233,105,154,141
sT7,ctx-lh-inferiortemporal,1009,1.0,nearest-neighbor,-18.892,24.392,-19.233,104,164,137
sT8,ctx-lh-superiortemporal,1030,0.0,direct,-19.892,33.392,-23.233,105,173,133
FP1,ctx-lh-medialorbitofrontal,1014,0.0,direct,3.108,67.392,2.767,82,207,159
FP2,ctx-lh-medialorbitofrontal,1014,0.0,direct,3.108,77.392,0.767,82,217,157
FP3,ctx-lh-lateralorbitofrontal,1012,0.0,direct,-4.892,81.392,0.767,90,221,157
