electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
CP01,ctx-lh-lateraloccipital,1011,1.4142135381698608,nearest-neighbor,-43.107,-73.893,-20.233,127,65,136
CP02,ctx-lh-lateraloccipital,1011,2.0,nearest-neighbor,-51.107,-64.893,-17.233,135,74,139
CP03,ctx-lh-middletemporal,1015,3.605551242828369,nearest-neighbor,-56.107,-57.893,-13.233,140,81,143
CP04,ctx-lh-middletemporal,1015,1.4142135381698608,nearest-neighbor,-61.107,-49.893,-10.233,145,89,146
CP05,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-65.107,-39.893,-6.233,149,99,150
CP06,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-66.107,-29.893,-5.233,150,109,151
CP07,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-67.107,-18.893,-5.233,151,120,151
CP08,ctx-lh-middletemporal,1015,3.0,nearest-neighbor,-65.107,-7.893,-3.233,149,131,153
CP09,ctx-lh-inferiorparietal,1008,2.8284270763397217,nearest-neighbor,-43.107,-75.893,-11.233,127,63,145
CP10,ctx-lh-lateraloccipital,1011,2.4494898319244385,nearest-neighbor,-49.107,-68.893,-7.233,133,70,149
CP11,ctx-lh-lateraloccipital,1011,2.4494898319244385,nearest-neighbor,-55.107,-58.893,-5.233,139,80,151
CP12,ctx-lh-middletemporal,1015,3.316624879837036,nearest-neighbor,-60.107,-50.893,0.767,144,88,157
CP13,ctx-lh-middletemporal,1015,2.8284270763397217,nearest-neighbor,-64.107,-41.893,2.767,148,97,159
CP14,ctx-lh-superiortemporal,1030,2.2360680103302,nearest-neighbor,-66.107,-31.893,4.767,150,107,161
CP15,ctx-lh-superiortemporal,1030,2.0,nearest-neighbor,-67.107,-21.893,5.767,151,117,162
CP16,ctx-lh-superiortemporal,1030,2.0,nearest-neighbor,-66.107,-10.893,5.767,150,128,162
CP17,ctx-lh-inferiorparietal,1008,1.4142135381698608,nearest-neighbor,-40.107,-77.893,-0.233,124,61,156
CP18,ctx-lh-inferiorparietal,1008,1.4142135381698608,nearest-neighbor,-48.107,-70.893,2.767,132,68,159
CP19,ctx-lh-inferiorparietal,1008,0.0,direct,-56.107,-59.893,4.767,140,79,161
CP20,Out-of-bounds,-1,-1.0,failed,-59.107,-50.893,6.767,143,88,163
