electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
T01,ctx-lh-middletemporal,1015,0.0,direct,-46.513,32.181,1.955,136,161,163
T02,ctx-lh-middletemporal,1015,0.0,direct,-51.513,27.181,10.955,141,156,172
T03,ctx-lh-middletemporal,1015,1.7320508,nearest-neighbor,-54.513,20.181,16.955,144,149,178
T04,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-56.513,12.181,22.955,146,141,184
T05,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-57.513,3.181,28.955,147,132,190
T06,ctx-lh-superiortemporal,1030,2.236068,nearest-neighbor,-60.513,-4.819,35.955,150,124,197
T07,ctx-lh-supramarginal,1031,1.0,nearest-neighbor,-58.513,-13.819,42.955,148,115,204
T08,ctx-lh-supramarginal,1031,1.0,nearest-neighbor,-58.513,-22.819,46.955,148,106,208
T09,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-50.513,26.181,-6.045,140,155,155
T10,ctx-lh-middletemporal,1015,1.4142135,nearest-neighbor,-55.513,21.181,0.955,145,150,162
T11,ctx-lh-middletemporal,1015,1.4142135,nearest-neighbor,-61.513,15.181,8.955,151,144,170
T12,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-63.513,7.181,15.955,153,136,177
T13,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-62.513,-1.819,21.955,152,127,183
T14,ctx-lh-superiortemporal,1030,2.4494898,nearest-neighbor,-61.513,-10.819,26.955,151,118,188
T15,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-63.513,-18.819,32.955,153,110,194
T16,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-60.513,-27.819,37.955,150,101,199
D1,Left-Cerebral-White-Matter,2,0.0,direct,-30.039,-1.119,40.243,120,128,202
D2,Left-Cerebral-White-Matter,2,0.0,direct,-34.816,-1.556,39.876,125,127,201
D3,Left-Cerebral-White-Matter,2,0.0,direct,-39.806,-2.047,39.434,130,127,201
D4,ctx-lh-postcentral,1022,0.0,direct,-44.731,-2.546,39.4,135,126,201
D5,ctx-lh-postcentral,1022,0.0,direct,-49.521,-3.27,39.652,140,126,201
D6,ctx-lh-postcentral,1022,0.0,direct,-54.261,-3.906,40.335,144,125,202
C01,ctx-lh-rostralmiddlefrontal,1027,2.236068,nearest-neighbor,-40.513,42.181,58.955,130,171,220
C02,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-45.513,33.181,62.955,135,162,224
C03,ctx-lh-rostralmiddlefrontal,1027,2.236068,nearest-neighbor,-42.513,23.181,64.955,132,152,226
C04,ctx-lh-precentral,1024,1.0,nearest-neighbor,-46.513,14.181,67.955,136,143,229
C05,ctx-lh-precentral,1024,3.1622777,nearest-neighbor,-47.513,4.181,71.955,137,133,233
C06,ctx-lh-precentral,1024,2.828427,nearest-neighbor,-43.513,-6.819,71.955,133,122,233
C07,ctx-lh-postcentral,1022,1.4142135,nearest-neighbor,-42.513,-15.819,74.955,132,113,236
C08,ctx-lh-postcentral,1022,0.0,direct,-40.513,-24.819,74.955,130,104,236
C09,ctx-lh-parstriangularis,1020,0.0,direct,-47.513,41.181,50.955,137,170,212
C10,ctx-lh-parsopercularis,1018,0.0,direct,-49.513,31.181,53.955,139,160,215
C11,ctx-lh-precentral,1024,0.0,direct,-50.513,21.181,56.955,140,150,218
C12,ctx-lh-precentral,1024,1.0,nearest-neighbor,-50.513,12.181,59.955,140,141,221
C13,ctx-lh-postcentral,1022,2.0,nearest-neighbor,-50.513,2.181,62.955,140,131,224
C14,ctx-lh-postcentral,1022,2.0,nearest-neighbor,-50.513,-7.819,64.955,140,121,226
C15,ctx-lh-postcentral,1022,1.0,nearest-neighbor,-48.513,-17.819,66.955,138,111,228
C16,ctx-lh-supramarginal,1031,1.0,nearest-neighbor,-45.513,-26.819,66.955,135,102,228
C17,ctx-lh-parsopercularis,1018,1.0,nearest-neighbor,-52.513,38.181,40.955,142,167,202
C18,ctx-lh-parsopercularis,1018,1.0,nearest-neighbor,-51.513,29.181,43.955,141,158,205
C19,ctx-lh-precentral,1024,1.7320508,nearest-neighbor,-55.513,20.181,47.955,145,149,209
C20,ctx-lh-precentral,1024,1.0,nearest-neighbor,-55.513,11.181,50.955,145,140,212
C21,ctx-lh-postcentral,1022,1.0,nearest-neighbor,-56.513,1.181,53.955,146,130,215
C22,ctx-lh-postcentral,1022,1.4142135,nearest-neighbor,-55.513,-9.819,55.955,145,119,217
C23,ctx-lh-supramarginal,1031,1.0,nearest-neighbor,-56.513,-19.819,57.955,146,109,219
C24,ctx-lh-supramarginal,1031,1.7320508,nearest-neighbor,-53.513,-29.819,58.955,143,99,220
C25,ctx-lh-parsopercularis,1018,1.7320508,nearest-neighbor,-49.513,35.181,28.955,139,164,190
C26,ctx-lh-parsopercularis,1018,1.7320508,nearest-neighbor,-50.513,26.181,31.955,140,155,193
C27,ctx-lh-precentral,1024,1.0,nearest-neighbor,-55.513,17.181,36.955,145,146,198
C28,ctx-lh-precentral,1024,2.4494898,nearest-neighbor,-57.513,8.181,39.955,147,137,201
C29,ctx-lh-postcentral,1022,2.0,nearest-neighbor,-59.513,-1.819,43.955,149,127,205
C30,ctx-lh-supramarginal,1031,1.0,nearest-neighbor,-58.513,-11.819,44.955,148,117,206
C31,ctx-lh-supramarginal,1031,1.0,nearest-neighbor,-58.513,-23.819,46.955,148,105,208
C32,ctx-lh-supramarginal,1031,1.4142135,nearest-neighbor,-54.513,-31.819,49.955,144,97,211
