electrode_name,region
P01,ctx-lh-inferiorparietal
P02,ctx-lh-inferiorparietal
P03,Out-of-bounds
P04,ctx-lh-superiortemporal
P05,ctx-lh-superiortemporal
P06,ctx-lh-superiortemporal
P07,ctx-lh-middletemporal
P08,ctx-lh-middletemporal
P09,ctx-lh-inferiorparietal
P10,ctx-lh-inferiorparietal
P11,Out-of-bounds
P12,Out-of-bounds
P13,ctx-lh-superiortemporal
P14,ctx-lh-superiortemporal
P15,ctx-lh-superiortemporal
P16,ctx-lh-superiortemporal
P17,ctx-lh-inferiorparietal
P18,ctx-lh-inferiorparietal
P19,Out-of-bounds
P20,Out-of-bounds
P21,Out-of-bounds
P22,ctx-lh-supramarginal
P23,ctx-lh-postcentral
P24,ctx-lh-postcentral
P25,ctx-lh-inferiorparietal
P26,ctx-lh-inferiorparietal
P27,ctx-lh-supramarginal
P28,ctx-lh-supramarginal
P29,ctx-lh-supramarginal
P30,ctx-lh-supramarginal
P31,ctx-lh-postcentral
P32,ctx-lh-postcentral
P33,ctx-lh-superiorparietal
P34,ctx-lh-superiorparietal
P35,ctx-lh-postcentral
P36,ctx-lh-postcentral
P37,ctx-lh-supramarginal
P38,ctx-lh-supramarginal
P39,ctx-lh-postcentral
P40,ctx-lh-postcentral
P41,ctx-lh-superiorparietal
P42,ctx-lh-superiorparietal
P43,ctx-lh-postcentral
P44,ctx-lh-postcentral
P45,ctx-lh-postcentral
P46,ctx-lh-precentral
P47,ctx-lh-precentral
P48,ctx-lh-precentral
Fb49,ctx-lh-rostralmiddlefrontal
Fb50,ctx-lh-rostralmiddlefrontal
Fb51,ctx-lh-rostralmiddlefrontal
Fb52,ctx-lh-parstriangularis
Fb53,ctx-lh-parstriangularis
Fb54,Out-of-bounds
Fb55,ctx-lh-parsopercularis
Fb56,ctx-lh-precentral
Fb57,ctx-lh-lateralorbitofrontal
Fb58,ctx-lh-rostralmiddlefrontal
Fb59,ctx-lh-parsorbitalis
Fb60,ctx-lh-parsorbitalis
Fb61,ctx-lh-parsorbitalis
Fb62,ctx-lh-superiortemporal
Fb63,ctx-lh-parsopercularis
Fb64,ctx-lh-precentral
vT1,ctx-rh-lateralorbitofrontal
vT2,ctx-rh-medialorbitofrontal
vT3,ctx-lh-medialorbitofrontal
vT4,ctx-lh-lateralorbitofrontal
vT5,ctx-lh-lateralorbitofrontal
vT6,ctx-lh-superiortemporal
vT7,ctx-lh-superiortemporal
vT8,ctx-lh-superiortemporal
sT1,Out-of-bounds
sT2,ctx-lh-entorhinal
sT3,ctx-lh-inferiortemporal
sT4,ctx-lh-inferiortemporal
sT5,ctx-lh-inferiortemporal
sT6,ctx-lh-inferiortemporal
sT7,ctx-lh-middletemporal
sT8,ctx-lh-middletemporal
T01,ctx-lh-superiortemporal
T02,ctx-lh-superiortemporal
T03,ctx-lh-superiortemporal
T04,ctx-lh-superiortemporal
T05,ctx-lh-superiortemporal
T06,ctx-lh-superiortemporal
T07,ctx-lh-superiortemporal
T08,ctx-lh-middletemporal
F01,ctx-lh-rostralmiddlefrontal
F02,ctx-lh-rostralmiddlefrontal
F03,ctx-lh-rostralmiddlefrontal
F04,ctx-lh-rostralmiddlefrontal
F05,ctx-lh-rostralmiddlefrontal
F06,ctx-lh-rostralmiddlefrontal
F07,ctx-lh-caudalmiddlefrontal
F08,ctx-lh-caudalmiddlefrontal
F09,ctx-lh-rostralmiddlefrontal
F10,ctx-lh-rostralmiddlefrontal
F11,ctx-lh-rostralmiddlefrontal
F12,ctx-lh-parstriangularis
F13,ctx-lh-rostralmiddlefrontal
F14,ctx-lh-rostralmiddlefrontal
F15,ctx-lh-rostralmiddlefrontal
F16,ctx-lh-precentral
