electrode_name,region
F01,ctx-lh-medialorbitofrontal
F02,ctx-lh-lateralorbitofrontal
F03,ctx-lh-superiorfrontal
F04,ctx-lh-superiorfrontal
F05,ctx-lh-superiorfrontal
F06,ctx-lh-superiorfrontal
F07,ctx-lh-superiorfrontal
F08,ctx-lh-superiorfrontal
F09,ctx-lh-lateralorbitofrontal
F10,ctx-lh-lateralorbitofrontal
F11,ctx-lh-lateralorbitofrontal
F12,ctx-lh-superiorfrontal
F13,ctx-lh-rostralmiddlefrontal
F14,ctx-lh-superiorfrontal
F15,ctx-lh-rostralmiddlefrontal
F16,ctx-lh-superiorfrontal
F17,ctx-lh-lateralorbitofrontal
F18,ctx-lh-lateralorbitofrontal
F19,ctx-lh-rostralmiddlefrontal
F20,ctx-lh-rostralmiddlefrontal
F21,ctx-lh-rostralmiddlefrontal
F22,ctx-lh-rostralmiddlefrontal
F23,ctx-lh-rostralmiddlefrontal
F24,ctx-lh-rostralmiddlefrontal
F25,ctx-lh-lateralorbitofrontal
F26,ctx-lh-lateralorbitofrontal
F27,ctx-lh-rostralmiddlefrontal
F28,ctx-lh-rostralmiddlefrontal
F29,ctx-lh-parstriangularis
F30,ctx-lh-rostralmiddlefrontal
F31,ctx-lh-rostralmiddlefrontal
F32,ctx-lh-caudalmiddlefrontal
T33,ctx-lh-middletemporal
T34,ctx-lh-middletemporal
T35,ctx-lh-middletemporal
T36,ctx-lh-superiortemporal
T37,ctx-lh-superiortemporal
T38,ctx-lh-parsopercularis
T39,ctx-lh-parstriangularis
T40,ctx-lh-parstriangularis
T41,ctx-lh-middletemporal
T42,ctx-lh-middletemporal
T43,ctx-lh-middletemporal
T44,ctx-lh-superiortemporal
T45,ctx-lh-precentral
T46,ctx-lh-precentral
T47,ctx-lh-parsopercularis
T48,ctx-lh-parstriangularis
T49,ctx-lh-middletemporal
T50,ctx-lh-superiortemporal
T51,ctx-lh-superiortemporal
T52,ctx-lh-postcentral
T53,ctx-lh-postcentral
T54,ctx-lh-precentral
T55,ctx-lh-precentral
T56,ctx-lh-parsopercularis
T57,ctx-lh-superiortemporal
T58,ctx-lh-superiortemporal
T59,ctx-lh-supramarginal
T60,ctx-lh-postcentral
T61,ctx-lh-postcentral
T62,ctx-lh-precentral
T63,ctx-lh-precentral
T64,ctx-lh-caudalmiddlefrontal
C01,ctx-lh-supramarginal
C02,ctx-lh-supramarginal
C03,ctx-lh-supramarginal
C04,ctx-lh-supramarginal
C05,ctx-lh-postcentral
C06,ctx-lh-precentral
C07,ctx-lh-caudalmiddlefrontal
C08,ctx-lh-caudalmiddlefrontal
IH1,ctx-lh-lateralorbitofrontal
IH2,ctx-lh-medialorbitofrontal
IH3,ctx-lh-superiorfrontal
IH4,ctx-lh-superiorfrontal
IH5,ctx-lh-superiorfrontal
IH6,ctx-lh-superiorfrontal
IH7,ctx-lh-superiorfrontal
IH8,ctx-lh-superiorfrontal
