electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
OR01,ctx-lh-medialorbitofrontal,1014,1.199999,nearest-neighbor,-0.631,43.077,-29.242,125,205,137
OR02,ctx-lh-lateralorbitofrontal,1012,1.9899732,nearest-neighbor,-11.631,49.077,-31.242,115,202,119
OR03,ctx-lh-lateralorbitofrontal,1012,1.4696926,nearest-neighbor,-21.631,51.077,-29.242,112,205,102
OR04,ctx-lh-rostralmiddlefrontal,1027,3.1176887,nearest-neighbor,-29.631,53.077,-28.242,108,207,89
OR05,ctx-lh-rostralmiddlefrontal,1027,0.8485274,nearest-neighbor,-35.631,56.077,-24.242,103,213,79
OR06,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-43.631,57.077,-20.242,102,220,66
OR07,ctx-lh-rostralmiddlefrontal,1027,2.4738612,nearest-neighbor,-47.631,55.077,-10.242,105,237,59
OR08,ctx-lh-parstriangularis,1020,0.0,direct,-46.631,51.077,-2.242,112,250,61
OR09,ctx-rh-medialorbitofrontal,2014,0.0,direct,-1.631,32.077,-27.242,143,208,136
OR10,ctx-lh-lateralorbitofrontal,1012,1.897365,nearest-neighbor,-15.631,41.077,-37.242,128,192,112
OR11,ctx-lh-lateralorbitofrontal,1012,1.3416396,nearest-neighbor,-24.631,43.077,-32.242,125,200,97
OR12,ctx-lh-rostralmiddlefrontal,1027,1.6970547,nearest-neighbor,-31.631,46.077,-31.242,120,202,86
OR13,ctx-lh-rostralmiddlefrontal,1027,1.4696926,nearest-neighbor,-40.631,49.077,-30.242,115,203,71
OR14,ctx-lh-parsorbitalis,1019,1.7999985,nearest-neighbor,-47.631,48.077,-25.242,117,212,59
OR15,ctx-lh-rostralmiddlefrontal,1027,1.3416396,nearest-neighbor,-50.631,46.077,-16.242,120,227,54
OR16,ctx-lh-parstriangularis,1020,1.3416396,nearest-neighbor,-53.631,43.077,-6.242,125,243,49
F17,ctx-lh-superiorfrontal,1028,0.5999995,nearest-neighbor,-20.631,55.077,17.758,105,283,104
F18,ctx-lh-superiorfrontal,1028,1.7999985,nearest-neighbor,-26.631,46.077,19.758,120,287,94
F19,ctx-lh-rostralmiddlefrontal,1027,1.7999985,nearest-neighbor,-29.631,39.077,22.758,132,292,89
F20,ctx-lh-rostralmiddlefrontal,1027,1.3416396,nearest-neighbor,-35.631,30.077,25.758,147,297,79
F21,ctx-lh-caudalmiddlefrontal,1003,0.0,direct,-39.631,19.077,26.758,165,298,72
F22,ctx-lh-caudalmiddlefrontal,1003,0.0,direct,-41.631,10.077,27.758,180,300,69
F23,ctx-lh-precentral,1024,0.0,direct,-46.631,1.077,29.758,195,303,61
F24,ctx-lh-precentral,1024,0.8485274,nearest-neighbor,-46.631,-8.923,29.758,212,303,61
F25,ctx-lh-superiorfrontal,1028,2.0784593,nearest-neighbor,-28.631,57.077,10.758,102,272,91
F26,ctx-lh-rostralmiddlefrontal,1027,1.897365,nearest-neighbor,-33.631,49.077,13.758,115,277,82
F27,ctx-lh-rostralmiddlefrontal,1027,0.8485274,nearest-neighbor,-40.631,41.077,18.758,128,285,71
F28,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-44.631,33.077,17.758,142,283,64
F29,ctx-lh-caudalmiddlefrontal,1003,1.7999985,nearest-neighbor,-45.631,21.077,18.758,162,285,62
F30,ctx-lh-precentral,1024,0.0,direct,-49.631,12.077,20.758,177,288,56
F31,ctx-lh-precentral,1024,0.8485274,nearest-neighbor,-54.631,3.077,22.758,192,292,47
F32,ctx-lh-postcentral,1022,0.0,direct,-56.631,-6.923,23.758,208,293,44
F33,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-34.631,58.077,2.758,100,258,81
F34,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-39.631,50.077,5.758,113,263,72
F35,ctx-lh-rostralmiddlefrontal,1027,0.5999995,nearest-neighbor,-47.631,42.077,8.758,127,268,59
F36,ctx-lh-parstriangularis,1020,1.7999985,nearest-neighbor,-52.631,34.077,10.758,140,272,51
F37,ctx-lh-parsopercularis,1018,1.897365,nearest-neighbor,-54.631,24.077,11.758,157,273,47
F38,ctx-lh-precentral,1024,1.0392296,nearest-neighbor,-58.631,14.077,13.758,173,277,41
F39,ctx-lh-postcentral,1022,0.5999995,nearest-neighbor,-60.631,4.077,14.758,190,278,37
F40,ctx-lh-postcentral,1022,0.0,direct,-63.631,-5.923,15.758,207,280,32
F41,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-39.631,60.077,-5.242,97,245,72
F42,ctx-lh-parstriangularis,1020,1.4696926,nearest-neighbor,-47.631,51.077,-4.242,112,247,59
F43,ctx-lh-parstriangularis,1020,0.0,direct,-50.631,44.077,-2.242,123,250,54
F44,ctx-lh-parstriangularis,1020,1.7999985,nearest-neighbor,-56.631,34.077,0.758,140,255,44
F45,ctx-lh-parsopercularis,1018,1.3416396,nearest-neighbor,-58.631,24.077,1.758,157,257,41
F46,ctx-lh-precentral,1024,1.6970547,nearest-neighbor,-63.631,15.077,3.758,172,260,32
F47,ctx-lh-postcentral,1022,0.8485274,nearest-neighbor,-65.631,5.077,5.758,188,263,29
F48,ctx-lh-postcentral,1022,0.8485274,nearest-neighbor,-68.631,-5.923,6.758,207,265,24
F49,ctx-lh-rostralmiddlefrontal,1027,1.3416396,nearest-neighbor,-42.631,59.077,-16.242,98,227,67
F50,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-48.631,51.077,-15.242,112,228,57
F51,ctx-lh-parstriangularis,1020,0.5999995,nearest-neighbor,-53.631,41.077,-12.242,128,233,49
F52,ctx-lh-parstriangularis,1020,0.8485274,nearest-neighbor,-58.631,32.077,-10.242,143,237,41
F53,ctx-lh-parstriangularis,1020,2.163329,nearest-neighbor,-58.631,22.077,-10.242,160,237,41
F54,ctx-lh-postcentral,1022,1.199999,nearest-neighbor,-65.631,13.077,-6.242,175,243,29
F55,ctx-lh-postcentral,1022,1.7999985,nearest-neighbor,-68.631,3.077,-5.242,192,245,24
F56,ctx-lh-supramarginal,1031,0.5999995,nearest-neighbor,-69.631,-5.923,-3.242,207,248,22
F57,ctx-lh-rostralmiddlefrontal,1027,2.9393852,nearest-neighbor,-40.631,55.077,-25.242,105,212,71
F58,ctx-lh-parsorbitalis,1019,0.0,direct,-47.631,45.077,-25.242,122,212,59
F59,ctx-lh-parstriangularis,1020,1.4696926,nearest-neighbor,-51.631,38.077,-22.242,133,217,52
F60,ctx-lh-parstriangularis,1020,1.897365,nearest-neighbor,-52.631,28.077,-20.242,150,220,51
F61,ctx-lh-precentral,1024,0.5999995,nearest-neighbor,-57.631,19.077,-19.242,165,222,42
F62,ctx-lh-superiortemporal,1030,1.6970547,nearest-neighbor,-61.631,10.077,-17.242,180,225,36
F63,ctx-lh-superiortemporal,1030,0.8485274,nearest-neighbor,-67.631,2.077,-15.242,193,228,26
F64,ctx-lh-superiortemporal,1030,0.0,direct,-69.631,-8.923,-12.242,212,233,22
