electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
F01,ctx-lh-medialorbitofrontal,1014,2.4494898,nearest-neighbor,-11.259,65.793,-15.334,96,213,138
F02,ctx-lh-lateralorbitofrontal,1012,1.0,nearest-neighbor,-16.259,67.793,-12.334,101,215,141
F03,ctx-lh-superiorfrontal,1028,2.0,nearest-neighbor,-21.259,71.793,-1.334,106,219,152
F04,ctx-lh-superiorfrontal,1028,0.0,direct,-23.259,72.793,9.666,108,220,163
F05,ctx-lh-superiorfrontal,1028,2.236068,nearest-neighbor,-22.259,68.793,18.666,107,216,172
F06,ctx-lh-superiorfrontal,1028,2.828427,nearest-neighbor,-20.259,62.793,27.666,105,210,181
F07,ctx-lh-superiorfrontal,1028,1.0,nearest-neighbor,-17.259,57.793,35.666,102,205,189
F08,ctx-lh-superiorfrontal,1028,1.0,nearest-neighbor,-14.259,50.793,43.666,99,198,197
F09,ctx-lh-lateralorbitofrontal,1012,1.0,nearest-neighbor,-16.259,56.793,-18.334,101,204,135
F10,ctx-lh-lateralorbitofrontal,1012,1.4142135,nearest-neighbor,-22.259,62.793,-12.334,107,210,141
F11,ctx-lh-lateralorbitofrontal,1012,0.0,direct,-27.259,64.793,-4.334,112,212,149
F12,ctx-lh-superiorfrontal,1028,1.7320508,nearest-neighbor,-32.259,66.793,7.666,117,214,161
F13,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-32.259,63.793,17.666,117,211,171
F14,ctx-lh-superiorfrontal,1028,0.0,direct,-29.259,57.793,27.666,114,205,181
F15,ctx-lh-rostralmiddlefrontal,1027,1.0,nearest-neighbor,-25.259,51.793,34.666,110,199,188
F16,ctx-lh-superiorfrontal,1028,1.4142135,nearest-neighbor,-23.259,45.793,41.666,108,193,195
F17,ctx-lh-lateralorbitofrontal,1012,2.236068,nearest-neighbor,-22.259,47.793,-18.334,107,195,135
F18,ctx-lh-lateralorbitofrontal,1012,1.4142135,nearest-neighbor,-28.259,53.793,-12.334,113,201,141
F19,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-35.259,56.793,-6.334,120,204,147
F20,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-41.259,60.793,5.666,126,208,159
F21,ctx-lh-rostralmiddlefrontal,1027,1.0,nearest-neighbor,-40.259,56.793,16.666,125,204,170
F22,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-38.259,53.793,25.666,123,201,179
F23,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-36.259,46.793,33.666,121,194,187
F24,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-30.259,39.793,41.666,115,187,195
F25,ctx-lh-lateralorbitofrontal,1012,3.0,nearest-neighbor,-27.259,39.793,-18.334,112,187,135
F26,ctx-lh-lateralorbitofrontal,1012,0.0,direct,-35.259,44.793,-14.334,120,192,139
F27,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-41.259,49.793,-8.334,126,197,145
F28,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-47.259,53.793,3.666,132,201,157
F29,ctx-lh-parstriangularis,1020,1.4142135,nearest-neighbor,-47.259,49.793,13.666,132,197,167
F30,ctx-lh-rostralmiddlefrontal,1027,1.0,nearest-neighbor,-46.259,45.793,23.666,131,193,177
F31,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-43.259,40.793,31.666,128,188,185
F32,ctx-lh-caudalmiddlefrontal,1003,1.0,nearest-neighbor,-40.259,33.793,40.666,125,181,194
T33,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-63.259,-23.207,-13.334,148,124,140
T34,ctx-lh-middletemporal,1015,3.3166249,nearest-neighbor,-68.259,-13.207,-9.334,153,134,144
T35,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-67.259,-3.207,-6.334,152,144,147
T36,ctx-lh-superiortemporal,1030,2.828427,nearest-neighbor,-60.259,5.793,-2.334,145,153,151
T37,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-57.259,14.793,-0.334,142,162,153
T38,ctx-lh-parsopercularis,1018,3.0,nearest-neighbor,-53.259,22.793,3.666,138,170,157
T39,ctx-lh-parstriangularis,1020,1.0,nearest-neighbor,-53.259,32.793,6.666,138,180,160
T40,ctx-lh-parstriangularis,1020,1.0,nearest-neighbor,-52.259,43.793,9.666,137,191,163
T41,ctx-lh-middletemporal,1015,1.4142135,nearest-neighbor,-64.259,-26.207,-3.334,149,121,150
T42,ctx-lh-middletemporal,1015,1.4142135,nearest-neighbor,-65.259,-17.207,-0.334,150,130,153
T43,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-65.259,-8.207,2.666,150,139,156
T44,ctx-lh-superiortemporal,1030,2.236068,nearest-neighbor,-60.259,1.793,5.666,145,149,159
T45,ctx-lh-precentral,1024,2.828427,nearest-neighbor,-58.259,11.793,7.666,143,159,161
T46,ctx-lh-precentral,1024,1.0,nearest-neighbor,-57.259,19.793,12.666,142,167,166
T47,ctx-lh-parsopercularis,1018,2.236068,nearest-neighbor,-54.259,29.793,15.666,139,177,169
T48,ctx-lh-parstriangularis,1020,1.0,nearest-neighbor,-50.259,39.793,19.666,135,187,173
T49,ctx-lh-middletemporal,1015,3.0,nearest-neighbor,-65.259,-32.207,5.666,150,115,159
T50,ctx-lh-superiortemporal,1030,3.0,nearest-neighbor,-65.259,-22.207,8.666,150,125,162
T51,ctx-lh-superiortemporal,1030,1.4142135,nearest-neighbor,-62.259,-12.207,13.666,147,135,167
T52,ctx-lh-postcentral,1022,2.236068,nearest-neighbor,-61.259,-3.207,14.666,146,144,168
T53,ctx-lh-postcentral,1022,1.0,nearest-neighbor,-60.259,6.793,17.666,145,154,171
T54,ctx-lh-precentral,1024,1.4142135,nearest-neighbor,-57.259,15.793,21.666,142,163,175
T55,ctx-lh-precentral,1024,1.4142135,nearest-neighbor,-54.259,24.793,24.666,139,172,178
T56,ctx-lh-parsopercularis,1018,1.0,nearest-neighbor,-49.259,32.793,27.666,134,180,181
T57,ctx-lh-superiortemporal,1030,1.4142135,nearest-neighbor,-63.259,-35.207,15.666,148,112,169
