electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
FH01,ctx-lh-superiorfrontal,1028,1.4142135,nearest-neighbor,-8.192,59.059,43.665,98,205,179
FH02,ctx-lh-superiorfrontal,1028,1.0,nearest-neighbor,-13.192,51.059,47.665,103,197,183
FH03,ctx-lh-rostralmiddlefrontal,1027,2.0,nearest-neighbor,-18.192,43.059,49.665,108,189,185
FH04,ctx-lh-caudalmiddlefrontal,1003,2.828427,nearest-neighbor,-23.192,34.059,53.665,113,180,189
FH05,ctx-lh-caudalmiddlefrontal,1003,1.7320508,nearest-neighbor,-27.192,26.059,56.665,117,172,192
FH06,ctx-lh-superiorfrontal,1028,1.0,nearest-neighbor,-30.192,16.059,57.665,120,162,193
FH07,ctx-lh-caudalmiddlefrontal,1003,1.4142135,nearest-neighbor,-33.192,6.059,59.665,123,152,195
FH08,ctx-lh-precentral,1024,1.4142135,nearest-neighbor,-37.192,-2.941,61.665,127,143,197
FH09,ctx-lh-superiorfrontal,1028,1.0,nearest-neighbor,-16.192,61.059,36.665,106,207,172
FH10,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-21.192,53.059,41.665,111,199,177
FH11,ctx-lh-rostralmiddlefrontal,1027,1.0,nearest-neighbor,-27.192,45.059,45.665,117,191,181
FH12,ctx-lh-caudalmiddlefrontal,1003,1.4142135,nearest-neighbor,-32.192,36.059,48.665,122,182,184
FH13,ctx-lh-caudalmiddlefrontal,1003,3.1622777,nearest-neighbor,-35.192,28.059,51.665,125,174,187
FH14,ctx-lh-caudalmiddlefrontal,1003,2.828427,nearest-neighbor,-38.192,18.059,52.665,128,164,188
FH15,ctx-lh-precentral,1024,2.4494898,nearest-neighbor,-40.192,9.059,52.665,130,155,188
FH16,ctx-lh-postcentral,1022,1.0,nearest-neighbor,-44.192,-0.941,54.665,134,145,190
FH17,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-22.192,63.059,29.665,112,209,165
FH18,ctx-lh-rostralmiddlefrontal,1027,2.0,nearest-neighbor,-29.192,55.059,34.665,119,201,170
FH19,ctx-lh-rostralmiddlefrontal,1027,1.7320508,nearest-neighbor,-34.192,47.059,38.665,124,193,174
FH20,ctx-lh-caudalmiddlefrontal,1003,1.0,nearest-neighbor,-38.192,38.059,41.665,128,184,177
