electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
T01,ctx-lh-parsorbitalis,1019,1.659882,nearest-neighbor,-44.531,17.344,-8.5,175,146,66
T02,ctx-lh-parsopercularis,1018,2.7105758,nearest-neighbor,-48.281,9.844,-2.5,179,138,72
T03,ctx-lh-precentral,1024,0.9583333,nearest-neighbor,-50.156,1.406,3.5,181,129,78
T04,ctx-lh-precentral,1024,0.9583333,nearest-neighbor,-50.156,-7.969,9.5,181,119,84
T05,ctx-lh-postcentral,1022,1.9166666,nearest-neighbor,-40.781,-15.469,12.5,171,111,87
T06,ctx-lh-postcentral,1022,0.0,direct,-32.344,-23.906,14.5,162,102,89
T07,ctx-lh-superiorparietal,1029,0.0,direct,-32.344,-31.406,17.5,162,94,92
T08,ctx-lh-superiorparietal,1029,3.8333333,nearest-neighbor,-22.969,-38.906,20.5,152,86,95
T09,ctx-lh-superiortemporal,1030,1.3552879,nearest-neighbor,-48.281,12.656,-16.5,179,141,58
T10,ctx-lh-superiortemporal,1030,0.9583333,nearest-neighbor,-51.094,5.156,-8.5,182,133,66
T11,ctx-lh-superiortemporal,1030,0.9583333,nearest-neighbor,-52.969,-3.281,-4.5,184,124,70
T12,ctx-lh-superiortemporal,1030,0.9583333,nearest-neighbor,-53.906,-13.594,0.5,185,113,75
T13,ctx-lh-superiortemporal,1030,0.9583333,nearest-neighbor,-53.906,-22.969,8.5,185,103,83
T14,ctx-lh-superiortemporal,1030,2.1428986,nearest-neighbor,-38.906,-28.594,10.5,169,97,85
T15,ctx-lh-supramarginal,1031,1.3552879,nearest-neighbor,-43.594,-38.906,15.5,174,86,90
T16,ctx-lh-supramarginal,1031,0.0,direct,-42.656,-48.281,20.5,173,76,95
T17,ctx-lh-middletemporal,1015,1.9166666,nearest-neighbor,-51.094,7.969,-25.5,182,136,49
T18,ctx-lh-middletemporal,1015,1.3552879,nearest-neighbor,-54.844,0.469,-18.5,186,128,56
T19,ctx-lh-middletemporal,1015,1.3552879,nearest-neighbor,-56.719,-8.906,-11.5,188,118,63
T20,ctx-lh-middletemporal,1015,0.9583333,nearest-neighbor,-57.656,-18.281,-7.5,189,108,67
T21,ctx-lh-superiortemporal,1030,1.659882,nearest-neighbor,-56.719,-27.656,-0.5,188,98,74
T22,ctx-lh-superiortemporal,1030,2.1428986,nearest-neighbor,-52.969,-36.094,4.5,184,89,79
T23,ctx-lh-supramarginal,1031,1.3552879,nearest-neighbor,-50.156,-45.469,9.5,181,79,84
T24,ctx-lh-supramarginal,1031,0.9583333,nearest-neighbor,-45.469,-54.844,12.5,176,69,87
