electrode_name,region
P01,ctx-rh-lateraloccipital
P02,ctx-rh-lateraloccipital
P03,ctx-rh-lateraloccipital
P04,ctx-rh-inferiorparietal
P05,ctx-rh-inferiorparietal
P06,ctx-rh-superiorparietal
P07,ctx-rh-superiorparietal
P08,ctx-rh-superiorparietal
P09,ctx-rh-lateraloccipital
P10,ctx-rh-lateraloccipital
P11,ctx-rh-lateraloccipital
P12,ctx-rh-inferiorparietal
P13,ctx-rh-inferiorparietal
P14,ctx-rh-inferiorparietal
P15,ctx-rh-superiorparietal
P16,ctx-rh-superiorparietal
P17,ctx-rh-lateraloccipital
P18,ctx-rh-lateraloccipital
P19,ctx-rh-middletemporal
P20,ctx-rh-inferiorparietal
P21,ctx-rh-inferiorparietal
P22,ctx-rh-inferiorparietal
P23,ctx-rh-inferiorparietal
P24,ctx-rh-superiorparietal
P25,ctx-rh-inferiortemporal
P26,ctx-rh-inferiortemporal
P27,ctx-rh-middletemporal
P28,ctx-rh-inferiorparietal
P29,ctx-rh-inferiorparietal
P30,ctx-rh-inferiorparietal
P31,ctx-rh-supramarginal
P32,ctx-rh-superiorparietal
P33,ctx-rh-inferiortemporal
P34,ctx-rh-inferiortemporal
P35,ctx-rh-middletemporal
P36,ctx-rh-middletemporal
P37,ctx-rh-superiortemporal
P38,ctx-rh-supramarginal
P39,ctx-rh-supramarginal
P40,ctx-rh-supramarginal
P41,ctx-rh-inferiortemporal
P42,ctx-rh-inferiortemporal
P43,ctx-rh-middletemporal
P44,ctx-rh-middletemporal
P45,ctx-rh-superiortemporal
P46,ctx-rh-supramarginal
P47,ctx-rh-supramarginal
P48,ctx-rh-supramarginal
P49,ctx-rh-inferiortemporal
P50,ctx-rh-middletemporal
P51,ctx-rh-middletemporal
P52,ctx-rh-superiortemporal
P53,ctx-rh-superiortemporal
P54,ctx-rh-supramarginal
P55,ctx-rh-supramarginal
P56,ctx-rh-postcentral
P57,ctx-rh-inferiortemporal
P58,ctx-rh-inferiortemporal
P59,ctx-rh-middletemporal
P60,ctx-rh-middletemporal
P61,ctx-rh-superiortemporal
P62,ctx-rh-postcentral
P63,ctx-rh-postcentral
P64,ctx-rh-postcentral
Oc1,ctx-rh-lingual
Oc2,ctx-rh-lingual
Oc3,ctx-rh-lingual
Oc4,ctx-rh-lingual
Oc5,ctx-lh-cuneus
Oc6,ctx-lh-cuneus
Oc7,ctx-rh-cuneus
Oc8,ctx-rh-superiorparietal
OB1,ctx-rh-lingual
OB2,ctx-rh-lingual
OB3,ctx-rh-lingual
OB4,ctx-rh-lingual
OB5,ctx-rh-lateraloccipital
OB6,ctx-rh-lateraloccipital
OB7,ctx-rh-lateraloccipital
OB8,ctx-rh-lateraloccipital
PB1,ctx-rh-lingual
PB2,ctx-rh-lingual
PB3,ctx-rh-lingual
PB4,Right-Cerebellum-Cortex
PB5,Right-Cerebellum-Cortex
PB6,ctx-rh-lateraloccipital
PB7,ctx-rh-lateraloccipital
PB8,ctx-rh-lateraloccipital
sT1,ctx-rh-superiortemporal
sT2,Out-of-bounds
sT3,ctx-rh-inferiortemporal
sT4,ctx-rh-inferiortemporal
sT5,ctx-rh-fusiform
sT6,ctx-rh-inferiortemporal
sT7,ctx-rh-inferiortemporal
sT8,ctx-rh-middletemporal
