electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
T01,ctx-lh-parstriangularis,1020,2.0,nearest-neighbor,-55.835,36.392,18.03,137,176,160
T02,ctx-lh-parsopercularis,1018,1.0,nearest-neighbor,-56.835,27.392,23.03,138,167,165
T03,ctx-lh-parsopercularis,1018,1.7320508,nearest-neighbor,-57.835,20.392,28.03,139,160,170
T04,ctx-lh-precentral,1024,2.828427,nearest-neighbor,-59.835,11.392,34.03,141,151,176
T05,ctx-lh-postcentral,1022,1.4142135,nearest-neighbor,-61.835,2.392,39.03,143,142,181
T06,ctx-lh-supramarginal,1031,1.0,nearest-neighbor,-63.835,-7.608,44.03,145,132,186
T07,ctx-lh-supramarginal,1031,2.828427,nearest-neighbor,-64.835,-16.608,48.03,146,123,190
T08,ctx-lh-supramarginal,1031,2.4494898,nearest-neighbor,-62.835,-26.608,53.03,144,113,195
T09,ctx-lh-parstriangularis,1020,1.4142135,nearest-neighbor,-51.835,31.392,9.03,133,171,151
T10,ctx-lh-parsopercularis,1018,1.4142135,nearest-neighbor,-53.835,22.392,14.03,135,162,156
T11,ctx-lh-parsopercularis,1018,1.0,nearest-neighbor,-57.835,15.392,19.03,139,155,161
T12,ctx-lh-precentral,1024,2.236068,nearest-neighbor,-61.835,6.392,25.03,143,146,167
T13,ctx-lh-postcentral,1022,2.0,nearest-neighbor,-64.835,-2.608,31.03,146,137,173
T14,ctx-lh-supramarginal,1031,1.4142135,nearest-neighbor,-64.835,-11.608,36.03,146,128,178
T15,ctx-lh-supramarginal,1031,2.236068,nearest-neighbor,-66.835,-21.608,40.03,148,118,182
T16,ctx-lh-supramarginal,1031,2.0,nearest-neighbor,-64.835,-30.608,45.03,146,109,187
T17,ctx-lh-superiortemporal,1030,2.236068,nearest-neighbor,-51.835,27.392,2.03,133,167,144
T18,ctx-lh-superiortemporal,1030,1.4142135,nearest-neighbor,-54.835,19.392,6.03,136,159,148
T19,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-58.835,10.392,10.03,140,150,152
T20,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-62.835,1.392,16.03,144,141,158
T21,Left-Cerebral-White-Matter,2,2.0,nearest-neighbor,-64.835,-6.608,21.03,146,133,163
T22,Left-Cerebral-White-Matter,2,2.236068,nearest-neighbor,-61.835,-16.608,26.03,143,123,168
T23,ctx-lh-supramarginal,1031,1.4142135,nearest-neighbor,-65.835,-26.608,31.03,147,113,173
T24,ctx-lh-supramarginal,1031,3.3166249,nearest-neighbor,-64.835,-35.608,35.03,146,104,177
T25,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-56.835,22.392,-7.97,138,162,134
T26,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-59.835,15.392,-1.97,141,155,140
T27,ctx-lh-superiortemporal,1030,3.6055512,nearest-neighbor,-61.835,6.392,3.03,143,146,145
T28,ctx-lh-middletemporal,1015,1.7320508,nearest-neighbor,-65.835,-1.608,8.03,147,138,150
T29,ctx-lh-superiortemporal,1030,2.4494898,nearest-neighbor,-65.835,-11.608,12.03,147,128,154
T30,ctx-lh-superiortemporal,1030,1.7320508,nearest-neighbor,-65.835,-21.608,18.03,147,118,160
T31,ctx-lh-superiortemporal,1030,4.1231055,nearest-neighbor,-65.835,-30.608,22.03,147,109,164
T32,ctx-lh-middletemporal,1015,3.7416575,nearest-neighbor,-62.835,-39.608,25.03,144,100,167
T33,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-56.835,16.392,-17.97,138,156,124
T34,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-61.835,9.392,-10.97,143,149,131
T35,ctx-lh-middletemporal,1015,3.6055512,nearest-neighbor,-63.835,1.392,-5.97,145,141,136
T36,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-68.835,-6.608,-0.97,150,133,141
T37,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-67.835,-16.608,4.03,149,123,146
T38,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-66.835,-25.608,9.03,148,114,151
T39,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-64.835,-35.608,13.03,146,104,155
T40,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-61.835,-45.608,17.03,143,94,159
T41,ctx-lh-inferiortemporal,1009,2.0,nearest-neighbor,-55.835,10.392,-22.97,137,150,119
T42,ctx-lh-inferiortemporal,1009,1.0,nearest-neighbor,-59.835,4.392,-20.97,141,144,121
T43,ctx-lh-inferiortemporal,1009,1.0,nearest-neighbor,-63.835,-4.608,-14.97,145,135,127
T44,ctx-lh-inferiortemporal,1009,1.0,nearest-neighbor,-64.835,-12.608,-10.97,146,127,131
T45,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-67.835,-21.608,-4.97,149,118,137
T46,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-66.835,-30.608,0.03,148,109,142
T47,ctx-lh-middletemporal,1015,2.828427,nearest-neighbor,-64.835,-39.608,3.03,146,100,145
T48,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-60.835,-48.608,7.03,142,91,149
TO49,ctx-lh-lateraloccipital,1011,1.7320508,nearest-neighbor,-17.835,-76.608,40.03,99,63,182
TO50,ctx-lh-superiorparietal,1029,2.0,nearest-neighbor,-26.835,-72.608,41.03,108,67,183
TO51,ctx-lh-inferiorparietal,1008,1.0,nearest-neighbor,-35.835,-67.608,42.03,117,72,184
TO52,ctx-lh-inferiorparietal,1008,2.236068,nearest-neighbor,-44.835,-62.608,42.03,126,77,184
TO53,ctx-lh-inferiorparietal,1008,2.236068,nearest-neighbor,-52.835,-54.608,42.03,134,85,184
TO54,ctx-lh-inferiorparietal,1008,2.0,nearest-neighbor,-58.835,-44.608,42.03,140,95,184
TO55,ctx-lh-supramarginal,1031,2.236068,nearest-neighbor,-64.835,-35.608,39.03,146,104,181
TO56,ctx-lh-supramarginal,1031,2.0,nearest-neighbor,-66.835,-25.608,37.03,148,114,179
TO57,ctx-lh-cuneus,1005,0.0,direct,-13.835,-69.608,46.03,95,70,188
TO58,ctx-lh-cuneus,1005,3.0,nearest-neighbor,-22.835,-67.608,48.03,104,72,190
TO59,ctx-lh-inferiorparietal,1008,2.236068,nearest-neighbor,-31.835,-62.608,49.03,113,77,191
TO60,ctx-lh-inferiorparietal,1008,2.0,nearest-neighbor,-39.835,-57.608,51.03,121,82,193
TO61,ctx-lh-inferiorparietal,1008,1.7320508,nearest-neighbor,-47.835,-51.608,52.03,129,88,194
TO62,ctx-lh-inferiorparietal,1008,2.0,nearest-neighbor,-56.835,-42.608,51.03,138,97,193
TO63,ctx-lh-supramarginal,1031,2.4494898,nearest-neighbor,-61.835,-33.608,50.03,143,106,192
TO64,ctx-lh-supramarginal,1031,3.0,nearest-neighbor,-65.835,-22.608,47.03,147,117,189
vT1,ctx-lh-fusiform,1007,1.4142135,nearest-neighbor,-39.835,-15.608,-20.97,121,124,121
vT2,ctx-lh-fusiform,1007,2.236068,nearest-neighbor,-34.835,-7.608,-23.97,116,132,118
vT3,ctx-lh-inferiortemporal,1009,1.4142135,nearest-neighbor,-30.835,1.392,-27.97,112,141,114
vT4,ctx-lh-inferiortemporal,1009,3.6055512,nearest-neighbor,-27.835,9.392,-29.97,109,149,112
vT5,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-25.835,17.392,-27.97,107,157,114
vT6,ctx-lh-superiortemporal,1030,2.4494898,nearest-neighbor,-29.835,27.392,-19.97,111,167,122
vT7,ctx-lh-superiortemporal,1030,2.4494898,nearest-neighbor,-36.835,31.392,-14.97,118,171,127
vT8,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-47.835,31.392,-11.97,129,171,130
sT1,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-42.835,32.392,-20.97,124,172,121
sT2,ctx-lh-superiortemporal,1030,0.0,direct,-36.835,29.392,-27.97,118,169,114
sT3,ctx-lh-superiortemporal,1030,0.0,direct,-33.835,21.392,-31.97,115,161,110
sT4,ctx-lh-inferiortemporal,1009,1.4142135,nearest-neighbor,-32.835,11.392,-33.97,114,151,108
sT5,ctx-lh-inferiortemporal,1009,0.0,direct,-42.835,7.392,-32.97,124,147,109
sT6,ctx-lh-inferiortemporal,1009,0.0,direct,-50.835,8.392,-28.97,132,148,113
sT7,ctx-lh-inferiortemporal,1009,1.4142135,nearest-neighbor,-57.835,7.392,-21.97,139,147,120
sT8,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-61.835,9.392,-10.97,143,149,131
