electrode_name,region
T01,ctx-rh-middletemporal
T02,ctx-rh-middletemporal
T03,ctx-rh-middletemporal
T04,ctx-rh-middletemporal
T05,ctx-rh-middletemporal
T06,ctx-rh-middletemporal
T07,ctx-rh-middletemporal
T08,ctx-rh-middletemporal
T09,ctx-rh-superiortemporal
T10,ctx-rh-superiortemporal
T11,ctx-rh-middletemporal
T12,ctx-rh-middletemporal
T13,ctx-rh-superiortemporal
T14,ctx-rh-superiortemporal
T15,ctx-rh-superiortemporal
T16,ctx-rh-inferiorparietal
T17,ctx-rh-superiortemporal
T18,ctx-rh-superiortemporal
T19,ctx-rh-superiortemporal
T20,ctx-rh-superiortemporal
T21,ctx-rh-superiortemporal
T22,ctx-rh-superiortemporal
T23,ctx-rh-superiortemporal
T24,ctx-rh-superiortemporal
T25,ctx-rh-parstriangularis
T26,ctx-rh-parsopercularis
T27,ctx-rh-precentral
T28,ctx-rh-postcentral
T29,ctx-rh-postcentral
T30,ctx-rh-supramarginal
T31,ctx-rh-supramarginal
T32,ctx-rh-supramarginal
P33,ctx-rh-precuneus
P34,ctx-rh-superiorparietal
P35,ctx-rh-superiorparietal
P36,ctx-rh-superiorparietal
P37,ctx-rh-superiorparietal
P38,ctx-rh-inferiorparietal
P39,ctx-rh-inferiorparietal
P40,ctx-rh-supramarginal
P41,ctx-rh-superiorparietal
P42,ctx-rh-superiorparietal
P43,ctx-rh-superiorparietal
P44,ctx-rh-superiorparietal
P45,ctx-rh-inferiorparietal
P46,ctx-rh-inferiorparietal
P47,ctx-rh-inferiorparietal
P48,ctx-rh-supramarginal
Oc49,ctx-rh-lateraloccipital
Oc50,ctx-rh-lateraloccipital
Oc51,ctx-rh-lateraloccipital
Oc52,ctx-rh-lateraloccipital
Oc53,ctx-rh-inferiorparietal
Oc54,ctx-rh-inferiorparietal
Oc55,ctx-rh-inferiorparietal
Oc56,ctx-rh-inferiorparietal
Oc57,ctx-rh-lateraloccipital
Oc58,ctx-rh-lateraloccipital
Oc59,ctx-rh-lateraloccipital
Oc60,ctx-rh-lateraloccipital
Oc61,ctx-rh-inferiorparietal
Oc62,ctx-rh-lateraloccipital
Oc63,ctx-rh-lateraloccipital
Oc64,ctx-rh-middletemporal
vT1,ctx-rh-parahippocampal
vT2,Right-Hippocampus
vT3,Right-Hippocampus
vT4,Right-Amygdala
vT5,ctx-rh-inferiortemporal
vT6,ctx-rh-superiortemporal
vT7,ctx-rh-superiortemporal
vT8,ctx-rh-superiortemporal
aT1,Left-VentralDC
aT2,Right-VentralDC
aT3,Right-Amygdala
aT4,Right-Cerebral-White-Matter
aT5,ctx-rh-inferiortemporal
aT6,ctx-rh-inferiortemporal
aT7,ctx-rh-middletemporal
aT8,ctx-rh-middletemporal
sTv1,ctx-rh-medialorbitofrontal
sTv2,Right-Amygdala
sTv3,Right-Amygdala
sTv4,ctx-rh-fusiform
sTv5,ctx-rh-fusiform
sTv6,ctx-rh-inferiortemporal
sTv7,ctx-rh-inferiortemporal
sTv8,ctx-rh-middletemporal
sTa1,Right-Cerebral-White-Matter
sTa2,Right-Cerebral-White-Matter
sTa3,ctx-rh-middletemporal
sTa4,ctx-rh-middletemporal
sTa5,Right-Cerebral-White-Matter
sTa6,ctx-rh-inferiortemporal
sTa7,ctx-rh-inferiortemporal
sTa8,ctx-rh-middletemporal
