electrode_name,region
T01,ctx-rh-middletemporal
T02,ctx-rh-middletemporal
T03,ctx-rh-middletemporal
T04,ctx-rh-middletemporal
T05,ctx-rh-middletemporal
T06,ctx-rh-middletemporal
T07,ctx-rh-middletemporal
T08,ctx-rh-middletemporal
T09,ctx-rh-superiortemporal
T10,ctx-rh-superiortemporal
T11,ctx-rh-middletemporal
T12,ctx-rh-middletemporal
T13,ctx-rh-superiortemporal
T14,ctx-rh-superiortemporal
T15,ctx-rh-superiortemporal
T16,ctx-rh-inferiorparietal
T17,ctx-rh-superiortemporal
T18,ctx-rh-superiortemporal
T19,ctx-rh-superiortemporal
T20,ctx-rh-superiortemporal
T21,ctx-rh-superiortemporal
T22,ctx-rh-superiortemporal
T23,ctx-rh-superiortemporal
T24,ctx-rh-superiortemporal
T25,ctx-rh-parstriangularis
T26,ctx-rh-parsopercularis
T27,ctx-rh-precentral
T28,ctx-rh-postcentral
T29,ctx-rh-postcentral
T30,ctx-rh-supramarginal
T31,ctx-rh-supramarginal
T32,ctx-rh-supramarginal
P38,ctx-rh-inferiorparietal
P39,ctx-rh-inferiorparietal
P40,ctx-rh-supramarginal
P45,ctx-rh-inferiorparietal
P46,ctx-rh-inferiorparietal
P47,ctx-rh-inferiorparietal
P48,ctx-rh-supramarginal
Oc53,ctx-rh-inferiorparietal
Oc54,ctx-rh-inferiorparietal
Oc55,ctx-rh-inferiorparietal
Oc56,ctx-rh-inferiorparietal
Oc61,ctx-rh-inferiorparietal
Oc64,ctx-rh-middletemporal
vT6,ctx-rh-superiortemporal
vT7,ctx-rh-superiortemporal
vT8,ctx-rh-superiortemporal
aT7,ctx-rh-middletemporal
aT8,ctx-rh-middletemporal
sTv8,ctx-rh-middletemporal
sTa3,ctx-rh-middletemporal
sTa4,ctx-rh-middletemporal
sTa8,ctx-rh-middletemporal
