electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
T01,ctx-lh-inferiortemporal,1009,0.0,direct,-45.259,-51.007,5.166,130,88,159
T02,ctx-lh-inferiortemporal,1009,1.0,nearest-neighbor,-46.259,-42.007,4.166,131,97,158
T03,ctx-lh-inferiortemporal,1009,1.0,nearest-neighbor,-44.259,-30.007,4.166,129,109,158
T04,Left-Cerebellum-Cortex,8,1.0,nearest-neighbor,-30.259,-21.007,1.166,115,118,155
T05,ctx-lh-inferiortemporal,1009,2.4494898,nearest-neighbor,-44.259,-13.007,2.166,129,126,156
T06,ctx-lh-fusiform,1007,2.236068,nearest-neighbor,-29.259,-3.007,-2.834,114,136,151
T07,ctx-lh-inferiortemporal,1009,2.236068,nearest-neighbor,-51.259,7.993,2.166,136,147,156
T08,ctx-lh-superiortemporal,1030,0.0,direct,-50.259,17.993,5.166,135,157,159
T09,ctx-lh-middletemporal,1015,2.4494898,nearest-neighbor,-51.259,-52.007,12.166,136,87,166
T10,ctx-lh-inferiortemporal,1009,0.0,direct,-48.259,-42.007,14.166,133,97,168
T11,ctx-lh-inferiortemporal,1009,1.4142135,nearest-neighbor,-45.259,-32.007,13.166,130,107,167
T12,ctx-lh-inferiortemporal,1009,1.7320508,nearest-neighbor,-45.259,-24.007,12.166,130,115,166
T13,ctx-lh-middletemporal,1015,1.4142135,nearest-neighbor,-50.259,-12.007,14.166,135,127,168
T14,ctx-lh-superiortemporal,1030,0.0,direct,-51.259,-3.007,14.166,136,136,168
T15,ctx-lh-superiortemporal,1030,1.4142135,nearest-neighbor,-51.259,6.993,13.166,136,146,167
T16,ctx-lh-superiortemporal,1030,0.0,direct,-49.259,15.993,15.166,134,155,169
T17,ctx-lh-middletemporal,1015,3.1622777,nearest-neighbor,-52.259,-53.007,22.166,137,86,176
T18,ctx-lh-middletemporal,1015,2.4494898,nearest-neighbor,-55.259,-43.007,23.166,140,96,177
T19,ctx-lh-middletemporal,1015,2.236068,nearest-neighbor,-53.259,-33.007,23.166,138,106,177
T20,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-54.259,-23.007,21.166,139,116,175
T21,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-60.259,-13.007,26.166,145,126,180
T22,ctx-lh-superiortemporal,1030,1.7320508,nearest-neighbor,-57.259,-3.007,24.166,142,136,178
T23,ctx-lh-superiortemporal,1030,2.0,nearest-neighbor,-58.259,5.993,25.166,143,145,179
T24,ctx-lh-superiortemporal,1030,0.0,direct,-50.259,15.993,26.166,135,155,180
T25,ctx-lh-inferiorparietal,1008,1.4142135,nearest-neighbor,-51.259,-54.007,32.166,136,85,186
T26,ctx-lh-middletemporal,1015,1.0,nearest-neighbor,-57.259,-44.007,33.166,142,95,187
T27,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-59.259,-33.007,34.166,144,106,188
T28,ctx-lh-superiortemporal,1030,1.7320508,nearest-neighbor,-62.259,-22.007,35.166,147,117,189
T29,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-62.259,-13.007,36.166,147,126,190
T30,ctx-lh-superiortemporal,1030,1.4142135,nearest-neighbor,-61.259,-4.007,35.166,146,135,189
T31,ctx-lh-superiortemporal,1030,1.0,nearest-neighbor,-58.259,4.993,34.166,143,144,188
T32,ctx-lh-parsopercularis,1018,1.0,nearest-neighbor,-56.259,14.993,35.166,141,154,189
C33,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-34.259,43.993,69.166,119,183,223
C34,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-37.259,32.993,71.166,122,172,225
C35,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-42.259,24.993,72.166,127,164,226
C36,ctx-lh-caudalmiddlefrontal,1003,1.0,nearest-neighbor,-44.259,14.993,72.166,129,154,226
C37,ctx-lh-caudalmiddlefrontal,1003,1.4142135,nearest-neighbor,-44.259,2.993,72.166,129,142,226
C38,ctx-lh-precentral,1024,2.236068,nearest-neighbor,-45.259,-5.007,72.166,130,134,226
C39,ctx-lh-precentral,1024,2.0,nearest-neighbor,-49.259,-16.007,73.166,134,123,227
C40,ctx-lh-postcentral,1022,0.0,direct,-51.259,-25.007,72.166,136,114,226
C41,ctx-lh-rostralmiddlefrontal,1027,0.0,direct,-44.259,43.993,62.166,129,183,216
C42,ctx-lh-rostralmiddlefrontal,1027,1.4142135,nearest-neighbor,-47.259,34.993,63.166,132,174,217
C43,ctx-lh-parsopercularis,1018,2.0,nearest-neighbor,-50.259,25.993,64.166,135,165,218
C44,ctx-lh-parsopercularis,1018,0.0,direct,-51.259,14.993,64.166,136,154,218
C45,ctx-lh-precentral,1024,1.4142135,nearest-neighbor,-50.259,4.993,63.166,135,144,217
C46,ctx-lh-precentral,1024,2.0,nearest-neighbor,-51.259,-5.007,63.166,136,134,217
C47,ctx-lh-postcentral,1022,1.4142135,nearest-neighbor,-55.259,-15.007,63.166,140,124,217
C48,ctx-lh-supramarginal,1031,1.4142135,nearest-neighbor,-56.259,-25.007,63.166,141,114,217
C49,ctx-lh-rostralmiddlefrontal,1027,1.0,nearest-neighbor,-49.259,44.993,53.166,134,184,207
C50,ctx-lh-parstriangularis,1020,1.0,nearest-neighbor,-53.259,35.993,54.166,138,175,208
C51,ctx-lh-parstriangularis,1020,0.0,direct,-55.259,25.993,54.166,140,165,208
C52,ctx-lh-parsopercularis,1018,1.4142135,nearest-neighbor,-57.259,14.993,53.166,142,154,207
C53,ctx-lh-postcentral,1022,1.4142135,nearest-neighbor,-58.259,4.993,54.166,143,144,208
C54,ctx-lh-postcentral,1022,1.0,nearest-neighbor,-59.259,-5.007,54.166,144,134,208
