electrode_name,region
AL9,ctx-lh-middletemporal
AL12,ctx-lh-middletemporal
AHL9,ctx-lh-middletemporal
AHL10,ctx-lh-middletemporal
APL1,ctx-lh-inferiorparietal
APL2,ctx-lh-inferiorparietal
APL3,ctx-lh-inferiorparietal
APL5,ctx-lh-supramarginal
PHL9,ctx-lh-middletemporal
PHL10,ctx-lh-middletemporal
PPL5,ctx-lh-inferiorparietal
PPL6,ctx-lh-inferiorparietal
PPL7,ctx-lh-inferiorparietal
PPL8,ctx-lh-inferiorparietal
PPL9,ctx-lh-inferiorparietal
PPL10,ctx-lh-inferiorparietal
MPL1,ctx-lh-inferiorparietal
MPL2,ctx-lh-inferiorparietal
MPL3,ctx-lh-inferiorparietal
MPL4,ctx-lh-inferiorparietal
MPL5,ctx-lh-inferiorparietal
MPL6,ctx-lh-supramarginal
TOL9,ctx-lh-middletemporal
TOL10,ctx-lh-middletemporal
