electrode_name,region,label_id,distance_mm,method,x_mm,y_mm,z_mm,x_voxel,y_voxel,z_voxel
P01,ctx-lh-inferiorparietal,1008,3.0,nearest-neighbor,-49.895,-63.538,34.958,137,70,175
P02,ctx-lh-inferiorparietal,1008,2.0,nearest-neighbor,-55.895,-54.538,32.958,143,79,173
P03,Out-of-bounds,-1,-1.0,failed,-59.895,-47.538,29.958,147,86,170
P04,ctx-lh-superiortemporal,1030,3.0,nearest-neighbor,-63.895,-38.538,25.958,151,95,166
P05,ctx-lh-superiortemporal,1030,2.0,nearest-neighbor,-67.895,-29.538,21.958,155,104,162
P06,ctx-lh-superiortemporal,1030,3.464101552963257,nearest-neighbor,-68.895,-18.538,17.958,156,115,158
P07,ctx-lh-middletemporal,1015,1.4142135381698608,nearest-neighbor,-68.895,-8.538,12.958,156,125,153
P08,ctx-lh-middletemporal,1015,2.0,nearest-neighbor,-68.895,0.462,7.958,156,134,148
P09,ctx-lh-inferiorparietal,1008,2.2360680103302,nearest-neighbor,-49.895,-59.538,44.958,137,74,185
P10,ctx-lh-inferiorparietal,1008,2.2360680103302,nearest-neighbor,-55.895,-51.538,42.958,143,82,183
P11,Out-of-bounds,-1,-1.0,failed,-59.895,-43.538,38.958,147,90,179
P12,Out-of-bounds,-1,-1.0,failed,-62.895,-35.538,34.958,150,98,175
P13,ctx-lh-superiortemporal,1030,3.0,nearest-neighbor,-66.895,-24.538,30.958,154,109,171
P14,ctx-lh-superiortemporal,1030,2.0,nearest-neighbor,-68.895,-14.538,26.958,156,119,167
P15,ctx-lh-superiortemporal,1030,2.0,nearest-neighbor,-68.895,-4.538,20.958,156,129,161
P16,ctx-lh-superiortemporal,1030,1.4142135381698608,nearest-neighbor,-66.895,4.462,17.958,154,138,158
P17,ctx-lh-inferiorparietal,1008,2.4494898319244385,nearest-neighbor,-47.895,-55.538,54.958,135,78,195
P18,ctx-lh-inferiorparietal,1008,4.582575798034668,nearest-neighbor,-53.895,-47.538,51.958,141,86,192
P19,Out-of-bounds,-1,-1.0,failed,-57.895,-39.538,48.958,145,94,189
P20,Out-of-bounds,-1,-1.0,failed,-62.895,-30.538,44.958,150,103,185
P21,Out-of-bounds,-1,-1.0,failed,-64.895,-21.538,40.958,152,112,181
P22,ctx-lh-supramarginal,1031,1.0,nearest-neighbor,-66.895,-10.538,35.958,154,123,176
P23,ctx-lh-postcentral,1022,3.0,nearest-neighbor,-64.895,-0.538,29.958,152,133,170
P24,ctx-lh-postcentral,1022,3.0,nearest-neighbor,-63.895,9.462,25.958,151,143,166
P25,ctx-lh-inferiorparietal,1008,2.0,nearest-neighbor,-42.895,-50.538,62.958,130,83,203
P26,ctx-lh-inferiorparietal,1008,2.4494898319244385,nearest-neighbor,-50.895,-43.538,60.958,138,90,201
P27,ctx-lh-supramarginal,1031,1.4142135381698608,nearest-neighbor,-55.895,-34.538,58.958,143,99,199
P28,ctx-lh-supramarginal,1031,3.1622776985168457,nearest-neighbor,-58.895,-25.538,55.958,146,108,196
P29,ctx-lh-supramarginal,1031,2.0,nearest-neighbor,-63.895,-16.538,50.958,151,117,191
P30,ctx-lh-supramarginal,1031,2.8284270763397217,nearest-neighbor,-66.895,-6.538,44.958,154,127,185
P31,ctx-lh-postcentral,1022,2.0,nearest-neighbor,-65.895,4.462,39.958,153,138,180
P32,ctx-lh-postcentral,1022,2.4494898319244385,nearest-neighbor,-63.895,13.462,33.958,151,147,174
P33,ctx-lh-superiorparietal,1029,3.1622776985168457,nearest-neighbor,-36.895,-45.538,68.958,124,88,209
P34,ctx-lh-superiorparietal,1029,3.1622776985168457,nearest-neighbor,-43.895,-37.538,66.958,131,96,207
P35,ctx-lh-postcentral,1022,1.4142135381698608,nearest-neighbor,-49.895,-29.538,66.958,137,104,207
P36,ctx-lh-postcentral,1022,1.4142135381698608,nearest-neighbor,-54.895,-22.538,63.958,142,111,204
P37,ctx-lh-supramarginal,1031,2.2360680103302,nearest-neighbor,-59.895,-13.538,59.958,147,120,200
P38,ctx-lh-supramarginal,1031,2.8284270763397217,nearest-neighbor,-62.895,-1.538,53.958,150,132,194
P39,ctx-lh-postcentral,1022,2.0,nearest-neighbor,-63.895,9.462,48.958,151,143,189
P40,ctx-lh-postcentral,1022,3.1622776985168457,nearest-neighbor,-61.895,18.462,42.958,149,152,183
